CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
1,10,9926947,6641795,6330311,236920,74564,1143552,978582,1121682,926564,967278,548663,0,44155,0,866,ABSECON CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,110,149559792,92404618,86290725,4012785,2101108,21313953,18962176,11484863,8882301,21964097,10734525,149254,1756902,555900,7182,ATLANTIC CITY,ATLANTIC,G. K-12 / 3501 +,3,A,,1,ATLANTIC
1,120,18235452,9453306,8697177,647059,109070,2093642,1930697,1837877,1296821,4028062,1922243,0,441731,189974,1462,ATLANTIC CO VOCATIONAL,ATLANTIC,J. VOC,8,,,1,ATLANTIC
1,125,21474179,12398214,11989052,119240,289922,4344542,4109376,2518415,2240901,2048009,1045550,165000,0,76300,435,ATLANTIC CO SPECIAL SERV,ATLANTIC,I. CSSD,7,,,1,ATLANTIC
1,570,13813212,8491120,8150145,268175,72800,2041236,1736481,1291778,1045928,1801321,966221,0,183696,82100,713,BRIGANTINE CITY,ATLANTIC,C. K-8 / 401 - 750,2,CD,,1,ATLANTIC
1,590,29983383,17486687,16978797,394682,113208,5122809,4084418,3218704,2619418,3369641,1679941,0,758370,115100,1920,BUENA REGIONAL,ATLANTIC,F. K-12 / 1801 - 3500,3,A,,1,ATLANTIC
1,1300,7674592,4496358,4338233,124500,33625,1360165,1257176,823550,682730,922118,411184,0,72401,0,498,EGG HARBOR CITY,ATLANTIC,C. K-8 / 401 - 750,2,A,,1,ATLANTIC
1,1310,103057306,61412465,59472834,1789422,150209,18397834,16797662,8613265,6902510,12281127,7505173,0,1251720,279538,7499,EGG HARBOR TWP,ATLANTIC,G. K-12 / 3501 +,3,CD,,1,ATLANTIC
1,1410,2766218,1536493,1473994,52499,10000,385509,293397,338438,282738,476626,228542,6000,14203,0,180,ESTELL MANOR CITY,ATLANTIC,B. K-8 / 0 - 400,2,DE,,1,ATLANTIC
1,1540,5718004,3264404,2847904,320000,96500,988833,827583,714802,398402,676873,237873,0,70353,0,439,FOLSOM BORO,ATLANTIC,C. K-8 / 401 - 750,2,CD,,1,ATLANTIC
1,1690,50595954,32817584,31606862,953313,257409,7664124,6664815,4797609,4097248,5066852,2671889,85000,123920,43400,3278,GALLOWAY TWP,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,1790,52781367,29257414,27693749,1510665,53000,6097446,5854163,5931027,4745610,8299618,4903759,0,3158895,100000,3401,GREATER EGG HARBOR REG,ATLANTIC,H. 7-12 / 9-12,5,CD,,1,ATLANTIC
1,1940,37619243,23789708,22695455,807787,286466,5788028,5379670,3568187,2995069,4240030,2127881,0,223247,30519,3114,HAMILTON TWP,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,1960,40371709,24794048,22751187,1870351,172510,6258615,5487308,4270974,3292535,3913435,1751511,0,794167,16600,3655,HAMMONTON TOWN,ATLANTIC,G. K-12 / 3501 +,3,B,,1,ATLANTIC
1,2680,13506180,8008230,7597150,334546,76534,2121071,2003021,1564995,1197291,1677171,748216,0,134713,73000,853,LINWOOD CITY,ATLANTIC,D. K-8 / 751 +,2,GH,,1,ATLANTIC
1,2910,23382527,13748908,13487888,261020,0,3392564,2997378,1926879,1465584,2589876,1335286,0,1416333,140000,1402,MAINLAND REGIONAL,ATLANTIC,H. 7-12 / 9-12,5,DE,,1,ATLANTIC
1,3020,9858532,5725027,5217590,494193,13244,1681997,1325972,864358,693427,1430919,627952,59048,81615,72290,458,MARGATE CITY,ATLANTIC,C. K-8 / 401 - 750,2,DE,,1,ATLANTIC
1,3480,9875496,6351234,6066748,251806,32680,1113477,912159,1113010,916916,1214481,547765,17000,66294,24000,726,MULLICA TWP,ATLANTIC,D. K-8 / 751 +,2,B,,1,ATLANTIC
1,3720,12646614,8610609,8334573,259336,16700,1340738,1199498,1383863,1070106,1239956,594533,0,71448,0,979,NORTHFIELD CITY,ATLANTIC,D. K-8 / 751 +,2,DE,,1,ATLANTIC
1,4180,69472025,40986585,38322633,1680744,983208,10903676,9540092,6526767,5209191,9319134,4633179,0,1020358,497232,3794,PLEASANTVILLE CITY,ATLANTIC,G. K-12 / 3501 +,3,A,1,1,ATLANTIC
1,4240,1847266,1107101,1037739,29800,39562,375274,296216,196805,171155,163155,89830,0,4931,0,128,PORT REPUBLIC CITY,ATLANTIC,B. K-8 / 0 - 400,2,FG,,1,ATLANTIC
1,4800,14651141,9226816,8799097,221911,205808,2070588,1781848,1564961,1275568,1537542,763290,0,147027,88719,1084,SOMERS POINT CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,5350,12581189,8077226,7680639,343483,53104,1685228,1452601,1380225,1121478,1354808,306319,0,77961,94389,795,VENTNOR CITY,ATLANTIC,D. K-8 / 751 +,2,B,,1,ATLANTIC
1,5760,2828901,1748825,1695225,32100,21500,381571,352811,361694,292656,329456,154656,0,6976,10000,192,WEYMOUTH TWP,ATLANTIC,B. K-8 / 0 - 400,2,B,,1,ATLANTIC
3,40,15053226,8123118,7398268,419402,305448,2987976,2561502,1736146,1414036,2017886,940000,0,116068,145500,911,ALLENDALE BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,80,4175568,2353304,2103804,156500,93000,963478,824678,339579,282914,410922,134359,0,100958,147426,168,ALPINE BORO,BERGEN,B. K-8 / 0 - 400,2,I,,1,BERGEN
3,285,51485887,28924404,25676679,619065,2628660,12137712,11513487,4472385,3446400,5131460,1531247,80000,65235,0,634,BERGEN CO SPECIAL SERVICE,BERGEN,I. CSSD,7,,,1,BERGEN
3,290,58698133,29342667,26972672,1499895,870100,11219995,9169595,6028464,4625339,9223062,4971956,0,1803978,0,2148,BERGEN COUNTY VOCATIONAL,BERGEN,J. VOC,8,,,1,BERGEN
3,300,53898005,33047261,27357735,1912462,3777064,6608987,5527813,6367068,5558852,6606525,3534118,0,900194,402898,3511,BERGENFIELD BORO,BERGEN,F. K-12 / 1801 - 3500,3,FG,,1,BERGEN
3,440,15119340,9044786,8335080,383738,325968,2333710,1659492,1875668,1335133,1317484,505284,0,532309,0,1087,BOGOTA BORO,BERGEN,E. K-12 / 0 - 1800,3,DE,,1,BERGEN
3,740,9195717,5454826,5224712,175114,55000,1452174,916975,1156844,977094,1093054,427104,0,31353,20000,591,CARLSTADT BORO,BERGEN,C. K-8 / 401 - 750,2,DE,,1,BERGEN
3,745,9729115,4895685,4646985,190700,58000,1658755,1122355,1095833,781833,1547420,596150,5000,472619,180000,539,CARLSTADT-EAST RUTHERFORD,BERGEN,H. 7-12 / 9-12,5,CD,,1,BERGEN
3,890,37747686,24738163,23419937,521726,796500,5296421,3662345,3978118,2818458,2648345,1317345,0,864939,95000,2908,CLIFFSIDE PARK BORO,BERGEN,F. K-12 / 1801 - 3500,3,B,,1,BERGEN
3,930,17640252,11006517,10430699,350318,225500,2300330,1893655,1940402,1751352,1712490,944010,0,89690,0,1109,CLOSTER BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,990,24435993,15301315,14560474,491486,249355,3073721,2671613,3089156,2719328,2295314,1287259,0,676488,27300,1727,CRESSKILL BORO,BERGEN,E. K-12 / 0 - 1800,3,I,,1,BERGEN
3,1070,11956150,7350717,6736983,361422,252312,1948233,1718951,1131039,954189,1301631,523954,26750,116462,48000,686,DEMAREST BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,1130,36782720,22629345,21648293,817725,163327,4032994,3623264,4527803,4004453,4572128,2784696,0,950435,9250,2528,DUMONT BORO,BERGEN,F. K-12 / 1801 - 3500,3,FG,,1,BERGEN
3,1230,12817488,8066910,7605660,388750,72500,1891116,1490921,1482976,1236726,1287278,670778,0,48057,350000,827,EAST RUTHERFORD BORO,BERGEN,D. K-8 / 751 +,2,CD,,1,BERGEN
3,1270,10709045,6241868,5849590,362278,30000,1777977,1260331,1112466,891666,1513935,777177,0,9324,0,938,EDGEWATER BORO,BERGEN,A. K-6,1,DE,,1,BERGEN
3,1345,26554041,14121406,13524288,189215,407903,4137036,2975161,4409794,3372437,3332418,1744689,0,529380,100000,2544,ELMWOOD PARK,BERGEN,F. K-12 / 1801 - 3500,3,CD,,1,BERGEN
3,1360,16768359,9436159,9016187,266974,152998,2129221,1506464,2290004,2152601,2072896,1157357,0,791965,0,1196,EMERSON BORO,BERGEN,E. K-12 / 0 - 1800,3,GH,,1,BERGEN
