GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
A. K-6,,,K-6 Average,84.4,,61600,,79.1,,64524,
A. K-6,BERGEN,1270,EDGEWATER BORO,156.3,3,61062,31,130.3,3,55302,21
A. K-6,BERGEN,3870,ORADELL BORO,120.6,11,62205,36,114.7,8,68300,39
A. K-6,BERGEN,4410,RIVER EDGE BORO,68.4,35,74285,48,86.1,21,72607,45
A. K-6,BERGEN,4620,SADDLE RIVER BORO,100.5,16,60569,29,60.3,44,62535,30
A. K-6,BURLINGTON,200,BASS RIVER TWP,56,45,61904,33,57.5,48,71096,44
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,92.8,17,51245,17,105.5,11,52777,13
A. K-6,BURLINGTON,2960,MANSFIELD TWP,75.6,33,60105,28,90,19,73549,49
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,59.6,42,65490,42,61.6,41,70348,42
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,54.9,47,55800,24,68.3,35,56280,22
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,135,7,13178,3,129.4,4,13360,2
A. K-6,CAMDEN,5560,WATERFORD TWP,64.1,38,55794,23,67.6,36,73169,46
A. K-6,CAPE MAY,710,CAPE MAY CITY,,,,,86,22,73271,47
A. K-6,CAPE MAY,2840,LOWER TWP,79.2,27,80564,52,45.2,54,83208,55
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,159.2,2,11505,1,81.6,27,11585,1
A. K-6,ESSEX,1400,ESSEX FELLS BORO,58.9,44,44932,14,51,51,46542,10
A. K-6,ESSEX,1465,FAIRFIELD TWP,90.7,20,72674,46,77.9,30,70267,41
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,76,32,52000,18,74.8,31,52000,12
A. K-6,ESSEX,4530,ROSELAND BORO,61.7,41,61930,35,58.5,46,65085,34
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,145.5,6,75404,50,119.5,5,60190,27
A. K-6,GLOUCESTER,1330,ELK TWP,89.8,21,65417,41,91.1,17,65417,35
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,81.6,24,58113,25,78,29,68803,40
A. K-6,GLOUCESTER,2070,HARRISON TWP,106.1,14,69993,44,114.2,9,73671,50
A. K-6,GLOUCESTER,2990,MANTUA TWP,,,,,85.7,24,73377,48
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,89.7,22,51178,16,90.3,18,53584,14
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,112.1,12,33164,9,117.8,6,54987,18
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,107.2,13,55591,22,115.2,7,54361,17
A. K-6,GLOUCESTER,5590,WENONAH BORO,126.1,10,28851,7,110,10,29310,5
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,62.6,39,59390,27,62.1,40,61775,29
