GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,,,K-6 Average,157.9,,100000,,143.2,,102275,
A. K-6,BERGEN,1270,EDGEWATER BORO,220.7,3,116110,48,182.4,6,120000,50
A. K-6,BERGEN,3870,ORADELL BORO,193.7,9,106100,39,146.6,20,102500,33
A. K-6,BERGEN,4410,RIVER EDGE BORO,145.3,30,133702,55,120.5,32,132600,55
A. K-6,BERGEN,4620,SADDLE RIVER BORO,67,52,125000,53,62.3,50,125000,53
A. K-6,BURLINGTON,200,BASS RIVER TWP,112,35,106274,40,115,33,113404,46
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,173,16,104178,38,145.6,22,93853,18
A. K-6,BURLINGTON,2960,MANSFIELD TWP,177.5,14,107291,41,138.5,25,109158,38
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,150.7,23,99600,28,175.9,7,102050,32
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,95,39,86700,21,59.8,52,82793,13
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,94.5,40,38389,6,64.7,49,39984,5
A. K-6,CAMDEN,5560,WATERFORD TWP,163.3,21,101341,33,159.8,17,109841,40
A. K-6,CAPE MAY,710,CAPE MAY CITY,45.7,54,78102,15,43,54,108562,37
A. K-6,CAPE MAY,2840,LOWER TWP,202.4,6,120721,52,100.3,36,124848,51
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,45.9,53,77775,14,20,55,99856,27
A. K-6,ESSEX,1400,ESSEX FELLS BORO,103,37,103750,37,104.5,35,107500,36
A. K-6,ESSEX,1465,FAIRFIELD TWP,123.8,33,119035,51,124.6,30,125972,54
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,167.3,18,115000,46,164.5,15,115000,47
A. K-6,ESSEX,4530,ROSELAND BORO,110.2,36,100689,31,199.5,5,109539,39
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,174.6,15,96390,23,207.2,4,99195,26
