CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
1,10,9188678,6107602,5935619,141773,30210,1102546,920281,1032915,876028,896862,509899,0,42282,61391,834,ABSECON CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,110,127210847,78465590,73894313,3085625,1485652,18792999,16700036,10346748,8213320,17653249,9482303,0,1541127,996926,6915,ATLANTIC CITY,ATLANTIC,G. K-12 / 3501 +,3,A,,1,ATLANTIC
1,120,12715688,6008047,5688604,254273,65170,1397213,1326769,1621644,1143041,3104032,1550538,0,297514,86587,1116,ATLANTIC CO VOCATIONAL,ATLANTIC,J. VOC,8,,,1,ATLANTIC
1,125,19815496,11423325,11070069,102244,251012,4086040,3883607,2256480,2030320,1910525,923901,139126,0,81592,434,ATLANTIC CO SPECIAL SERV,ATLANTIC,I. CSSD,7,,,1,ATLANTIC
1,570,12496619,7804126,7549901,212147,42078,1752837,1616461,1216997,1010538,1544827,866034,0,177517,46175,752,BRIGANTINE CITY,ATLANTIC,C. K-8 / 401 - 750,2,CD,,1,ATLANTIC
1,590,28856233,17381087,16847001,433153,100933,4652034,3957136,3053375,2584663,3010945,1557781,0,742899,91636,2182,BUENA REGIONAL,ATLANTIC,F. K-12 / 1801 - 3500,3,A,,1,ATLANTIC
1,1300,7262506,4286672,4139262,118483,28927,1321781,1225456,850371,721162,736971,396294,0,66711,0,492,EGG HARBOR CITY,ATLANTIC,C. K-8 / 401 - 750,2,A,,1,ATLANTIC
1,1310,94527000,57236932,55435265,1735958,65709,16311318,15138825,8099602,6537706,10642305,6721789,0,1278601,518259,7685,EGG HARBOR TWP,ATLANTIC,G. K-12 / 3501 +,3,CD,,1,ATLANTIC
1,1410,2673095,1429039,1348118,71554,9367,377354,316032,321249,245651,536876,218934,0,8031,6041,196,ESTELL MANOR CITY,ATLANTIC,B. K-8 / 0 - 400,2,DE,,1,ATLANTIC
1,1540,4458556,2793318,2448905,269331,75082,702560,602746,505928,376557,420969,173630,0,33793,78989,420,FOLSOM BORO,ATLANTIC,C. K-8 / 401 - 750,2,CD,,1,ATLANTIC
1,1690,45816437,30615815,29392811,981446,241558,6544675,6012653,4337599,3756639,4101177,2392873,73823,108708,78739,3404,GALLOWAY TWP,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,1790,50017606,27958768,26196909,1609659,152200,5565442,5326984,5918291,4709365,7685063,4744267,0,2868664,580441,3607,GREATER EGG HARBOR REG,ATLANTIC,H. 7-12 / 9-12,5,CD,,1,ATLANTIC
