GROUP,CONAME,DIST,DISTNAME,PP15,RK15,PCT15,PP25,RK25,PCT25,PP35,RK35,PCT35
A. K-6,,,1. State average - Operating Type K-6,99,,,111,,,141,,
A. K-6,,,2. State median - Operating Type K-6,113,,,96,,,140,,
A. K-6,,,5. State average - All operating types,164,,,192,,,215,,
A. K-6,,,6. State median - All operating types,125,,,149,,,168,,
A. K-6,BERGEN,1270,EDGEWATER BORO,,,0.000,137,31,0.013,32,5,0.003
A. K-6,BERGEN,3870,ORADELL BORO,116,29,0.009,83,24,0.007,139,28,0.011
A. K-6,BERGEN,4410,RIVER EDGE BORO,305,50,0.025,305,50,0.025,393,50,0.029
A. K-6,BERGEN,4620,SADDLE RIVER BORO,243,47,0.011,265,47,0.012,303,46,0.012
A. K-6,BURLINGTON,200,BASS RIVER TWP,442,54,0.027,687,55,0.035,701,55,0.043
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,13,5,0.001,13,2,0.001,30,4,0.003
A. K-6,BURLINGTON,2960,MANSFIELD TWP,55,21,0.005,43,13,0.003,42,6,0.003
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,221,43,0.014,278,48,0.018,140,29,0.009
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,7,3,0.000,77,23,0.004,111,24,0.006
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,224,44,0.018,227,45,0.019,237,41,0.020
A. K-6,CAMDEN,5560,WATERFORD TWP,37,11,0.003,47,14,0.003,61,14,0.004
A. K-6,CAPE MAY,710,CAPE MAY CITY,225,45,0.009,209,43,0.011,223,40,0.011
A. K-6,CAPE MAY,2840,LOWER TWP,53,18,0.004,54,19,0.004,72,16,0.005
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,214,42,0.014,129,30,0.009,97,21,0.006
A. K-6,ESSEX,1400,ESSEX FELLS BORO,230,46,0.012,162,37,0.009,198,34,0.010
A. K-6,ESSEX,1465,FAIRFIELD TWP,181,39,0.013,172,38,0.011,266,43,0.018
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,196,40,0.014,185,41,0.012,270,44,0.016
A. K-6,ESSEX,4530,ROSELAND BORO,48,16,0.004,26,6,0.002,51,10,0.003
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,149,35,0.016,180,40,0.018,167,31,0.016
A. K-6,GLOUCESTER,1330,ELK TWP,532,55,0.044,864,56,0.066,937,56,0.067
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,51,17,0.005,91,26,0.008,120,25,0.009
A. K-6,GLOUCESTER,2070,HARRISON TWP,112,27,0.011,68,22,0.006,69,15,0.006
A. K-6,GLOUCESTER,2990,MANTUA TWP,2,2,0.000,18,3,0.001,5,2,0.000
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,43,13,0.003,65,20,0.005,92,20,0.006
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,136,34,0.013,160,35,0.016,208,37,0.019
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,35,10,0.003,22,4,0.002,45,7,0.004
A. K-6,GLOUCESTER,5590,WENONAH BORO,207,41,0.018,290,49,0.022,216,38,0.016
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,41,12,0.003,34,9,0.003,47,8,0.003
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,113,28,0.009,143,33,0.010,207,36,0.013
A. K-6,HUNTERDON,2590,LEBANON BORO,162,38,0.006,254,46,0.012,250,42,0.012
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,20,7,0.001,31,8,0.002,28,3,0.002
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,272,48,0.014,358,51,0.018,531,53,0.024
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,45,15,0.002,199,42,0.013,305,47,0.018
A. K-6,MORRIS,3240,MINE HILL TWP,154,36,0.015,98,29,0.008,84,18,0.007
A. K-6,OCEAN,230,BEACH HAVEN BORO,160,37,0.007,139,32,0.007,143,30,0.006
A. K-6,OCEAN,320,BERKELEY TWP,16,6,0.001,38,11,0.003,59,13,0.004
A. K-6,OCEAN,1150,EAGLESWOOD TWP,350,52,0.023,175,39,0.012,172,32,0.011
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,105,26,0.007,83,24,0.005,102,22,0.006
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,43,13,0.003,22,4,0.002,47,8,0.003
A. K-6,OCEAN,2760,LONG BEACH ISLAND,319,51,0.015,463,54,0.019,520,52,0.022
A. K-6,OCEAN,3800,OCEAN GATE BORO,100,25,0.007,52,16,0.003,349,49,0.019
A. K-6,OCEAN,3820,OCEAN TWP,89,24,0.006,91,26,0.006,136,26,0.008
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,12,4,0.000,39,12,0.002,199,35,0.012
A. K-6,OCEAN,5020,STAFFORD TWP,54,20,0.004,35,10,0.003,220,39,0.015
A. K-6,OCEAN,5220,TUCKERTON BORO,32,9,0.003,53,17,0.004,85,19,0.007
A. K-6,SUSSEX,1630,FREDON TWP,371,53,0.029,452,53,0.030,603,54,0.037
A. K-6,SUSSEX,1980,HAMPTON TWP,53,18,0.003,50,15,0.003,54,12,0.003
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,123,32,0.008,53,17,0.003,72,16,0.004
A. K-6,SUSSEX,5040,STILLWATER TWP,1,1,0.000,1,1,0.000,1,1,0.000
A. K-6,WARREN,400,BLAIRSTOWN TWP,127,33,0.010,153,34,0.011,173,33,0.011
A. K-6,WARREN,1620,FRANKLIN TWP,77,23,0.005,209,43,0.012,278,45,0.016
