GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,,,1. State average - Operating Type K-6,40,,,42,,,33,,
A. K-6,,,2. State median - Operating Type K-6,23,,,30,,,28,,
A. K-6,,,5. State average - All operating types,40,,,43,,,39,,
A. K-6,,,6. State median - All operating types,32,,,36,,,36,,
A. K-6,BERGEN,1270,EDGEWATER BORO,62,43,0.006,77,47,0.007,69,49,0.006
A. K-6,BERGEN,3870,ORADELL BORO,82,46,0.007,55,41,0.004,65,47,0.005
A. K-6,BERGEN,4410,RIVER EDGE BORO,13,13,0.001,17,18,0.001,22,17,0.002
A. K-6,BERGEN,4620,SADDLE RIVER BORO,183,51,0.008,316,53,0.014,26,22,0.001
A. K-6,BURLINGTON,200,BASS RIVER TWP,114,49,0.007,40,31,0.002,74,52,0.005
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,50,37,0.005,33,29,0.003,27,26,0.002
A. K-6,BURLINGTON,2960,MANSFIELD TWP,61,41,0.005,45,35,0.003,47,37,0.004
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,8,9,0.001,43,33,0.003,11,4,0.001
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,20,21,0.001,57,44,0.003,43,35,0.002
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,,,0.000,5,3,0.000,12,7,0.001
A. K-6,CAMDEN,5560,WATERFORD TWP,20,21,0.002,27,27,0.002,47,37,0.003
A. K-6,CAPE MAY,710,CAPE MAY CITY,23,26,0.001,23,24,0.001,25,20,0.001
A. K-6,CAPE MAY,2840,LOWER TWP,26,30,0.002,18,19,0.001,17,12,0.001
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,30,32,0.002,54,39,0.004,47,37,0.003
A. K-6,ESSEX,1400,ESSEX FELLS BORO,55,38,0.003,49,38,0.003,92,54,0.005
A. K-6,ESSEX,1465,FAIRFIELD TWP,72,44,0.005,55,41,0.004,68,48,0.005
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,13,13,0.001,13,9,0.001,63,46,0.004
A. K-6,ESSEX,4530,ROSELAND BORO,28,31,0.002,11,6,0.001,26,22,0.002
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,13,13,0.001,22,23,0.002,26,22,0.002
A. K-6,GLOUCESTER,1330,ELK TWP,56,39,0.005,20,21,0.002,23,19,0.002
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,49,36,0.004,19,20,0.002,29,29,0.002
A. K-6,GLOUCESTER,2070,HARRISON TWP,25,29,0.002,30,28,0.003,27,26,0.002
A. K-6,GLOUCESTER,2990,MANTUA TWP,18,20,0.001,2,2,0.000,11,4,0.001
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,7,5,0.000,1,1,0.000,8,2,0.001
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,7,5,0.001,55,41,0.006,54,44,0.005
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,7,5,0.001,25,26,0.002,11,4,0.001
A. K-6,GLOUCESTER,5590,WENONAH BORO,17,16,0.001,15,14,0.001,13,9,0.001
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,1,1,0.000,14,13,0.001,14,11,0.001
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,21,25,0.002,15,14,0.001,19,14,0.001
A. K-6,HUNTERDON,2590,LEBANON BORO,2776,54,0.110,1156,55,0.052,49,41,0.002
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,58,40,0.004,12,7,0.001,73,51,0.006
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,23,26,0.001,64,46,0.003,59,45,0.003
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,61,41,0.003,13,9,0.001,51,42,0.003
A. K-6,MORRIS,3240,MINE HILL TWP,43,35,0.004,87,49,0.007,48,40,0.004
A. K-6,OCEAN,230,BEACH HAVEN BORO,160,50,0.007,280,52,0.014,88,53,0.004
A. K-6,OCEAN,320,BERKELEY TWP,17,16,0.001,13,9,0.001,17,12,0.001
A. K-6,OCEAN,1150,EAGLESWOOD TWP,17,16,0.001,33,29,0.002,35,31,0.002
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,107,48,0.007,117,51,0.007,44,36,0.003
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,20,21,0.002,45,35,0.003,25,20,0.002
A. K-6,OCEAN,2760,LONG BEACH ISLAND,213,53,0.010,441,54,0.018,160,55,0.007
A. K-6,OCEAN,3800,OCEAN GATE BORO,86,47,0.006,6,4,0.000,52,43,0.003
A. K-6,OCEAN,3820,OCEAN TWP,23,26,0.002,54,39,0.003,28,28,0.002
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,204,52,0.008,44,34,0.002,4,1,0.000
A. K-6,OCEAN,5020,STAFFORD TWP,77,45,0.006,84,48,0.006,71,50,0.005
A. K-6,OCEAN,5220,TUCKERTON BORO,17,16,0.001,15,14,0.001,26,22,0.002
A. K-6,SUSSEX,1630,FREDON TWP,11,12,0.001,40,31,0.003,38,34,0.002
A. K-6,SUSSEX,1980,HAMPTON TWP,10,11,0.001,21,22,0.001,12,7,0.001
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,38,34,0.002,47,37,0.003,35,31,0.002
A. K-6,SUSSEX,5040,STILLWATER TWP,34,33,0.002,13,9,0.001,36,33,0.002
A. K-6,WARREN,400,BLAIRSTOWN TWP,8,9,0.001,58,45,0.004,20,15,0.001
A. K-6,WARREN,1620,FRANKLIN TWP,6,4,0.000,23,24,0.001,32,30,0.002
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,,,0.000,,,0.000,,,0.000
A. K-6,WARREN,2470,KNOWLTON TWP,1,1,0.000,15,14,0.001,22,17,0.001
A. K-6,WARREN,2970,MANSFIELD TWP,7,5,0.001,12,7,0.001,21,16,0.002
A. K-6,WARREN,5480,WASHINGTON BORO,20,21,0.002,7,5,0.001,13,9,0.001
A. K-6,WARREN,5530,WASHINGTON TWP,4,3,0.000,112,50,0.008,10,3,0.001
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,38,,,38,,,38,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,32,,,39,,,39,,
B. K-8 / 0 - 400,,,5. State average - All operating types,40,,,43,,,39,,
B. K-8 / 0 - 400,,,6. State median - All operating types,32,,,36,,,36,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,70,53,0.005,109,56,0.007,52,50,0.003
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,300,70,0.020,313,71,0.023,78,64,0.005
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,25,19,0.002,43,35,0.003,40,39,0.003
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,71,55,0.003,72,52,0.003,119,75,0.005
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,131,65,0.005,97,53,0.004,106,73,0.006
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,21,17,0.001,31,27,0.002,40,39,0.002
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,104,59,0.008,,,0.000,91,71,0.006
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,18,16,0.001,25,20,0.002,36,32,0.002
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,105,60,0.006,309,70,0.016,76,61,0.004
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,31,26,0.003,9,5,0.001,34,28,0.003
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,,,0.000,,,0.000,24,19,0.001
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,38,35,0.003,30,26,0.002,34,28,0.002
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,45,40,0.004,40,33,0.003,51,48,0.004
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,,,0.000,,,0.000,55,52,0.004
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,80,56,0.005,52,45,0.003,62,55,0.003
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,6,5,0.000,67,50,0.005,78,64,0.005
B. K-8 / 0 - 400,CAMDEN,5900,WOODLYNNE BORO,29,22,0.003,29,24,0.003,29,21,0.002
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,30,24,0.001,204,66,0.004,8,2,0.000
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,4,2,0.000,11,6,0.001,17,7,0.001
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,181,67,0.006,271,69,0.009,43,42,0.001
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,49,42,0.002,33,30,0.002,46,44,0.002
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,89,57,0.006,107,55,0.007,86,68,0.006
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,129,64,0.011,50,44,0.004,64,56,0.005
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,10,8,0.001,11,6,0.001,19,12,0.001
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,1,1,0.000,28,23,0.001,31,24,0.002
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,32,28,0.003,13,11,0.001,9,3,0.001
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,43,39,0.004,104,54,0.011,37,35,0.004
B. K-8 / 0 - 400,HUNTERDON,370,BETHLEHEM TWP,124,63,0.008,146,61,0.009,58,53,0.003
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,30,24,0.002,32,28,0.002,51,48,0.003
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,109,62,0.007,15,15,0.001,22,17,0.001
B. K-8 / 0 - 400,HUNTERDON,910,CLINTON-GLEN GARDNER,60,49,0.004,33,30,0.002,39,38,0.003
B. K-8 / 0 - 400,HUNTERDON,1040,DELAWARE TWP,4,2,0.000,27,21,0.002,78,64,0.004
B. K-8 / 0 - 400,HUNTERDON,1160,EAST AMWELL TWP,27,21,0.002,29,24,0.002,29,21,0.002
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,160,66,0.010,44,36,0.003,88,69,0.006
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,15,14,0.001,23,17,0.001,21,15,0.001
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,12,11,0.001,12,9,0.001,17,7,0.001
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,34,31,0.002,8,3,0.000,41,41,0.002
B. K-8 / 0 - 400,HUNTERDON,2450,KINGWOOD TWP,55,45,0.004,48,41,0.003,60,54,0.004
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,304,71,0.019,256,68,0.015,77,62,0.004
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,11,10,0.001,13,11,0.001,38,37,0.002
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,29,22,0.002,67,50,0.004,33,27,0.002
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,70,53,0.004,215,67,0.012,78,64,0.004
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,64,51,0.004,124,59,0.008,49,46,0.003
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,52,44,0.004,39,32,0.003,34,28,0.002
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,32,28,0.003,21,16,0.002,30,23,0.003
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,,,0.000,168,64,0.009,118,74,0.006
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,287,69,0.016,163,63,0.008,66,57,0.003
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,47,41,0.004,53,46,0.004,52,50,0.004
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,99,58,0.005,111,58,0.006,77,62,0.004
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,36,34,0.002,44,36,0.003,37,35,0.002
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,39,36,0.003,42,34,0.003,18,10,0.001
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,35,33,0.003,47,40,0.004,21,15,0.002
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,57,46,0.003,49,42,0.003,43,42,0.002
B. K-8 / 0 - 400,OCEAN,2500,LAKEHURST BORO,41,38,0.003,24,19,0.002,23,18,0.002
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,204,68,0.011,150,62,0.007,36,32,0.002
B. K-8 / 0 - 400,SALEM,60,ALLOWAY TWP,67,52,0.006,12,9,0.001,74,60,0.006
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,4,2,0.000,14,14,0.001,18,10,0.001
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,26,20,0.002,27,21,0.002,35,31,0.002
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,15,14,0.001,,,0.000,3,1,0.000
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,13,13,0.001,13,11,0.001,12,5,0.001
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,,,0.000,8,3,0.001,9,3,0.001
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,12,11,0.001,23,17,0.002,19,12,0.001
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,61,50,0.004,46,39,0.003,36,32,0.002
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,24,18,0.002,11,6,0.001,12,5,0.001
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,50,43,0.003,176,65,0.009,31,24,0.002
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,34,31,0.003,44,36,0.003,17,7,0.001
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,59,47,0.005,49,42,0.004,68,58,0.005
