GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,21428,0.109,0.878,0.01,0.003,0,0,11.3,62,170.5,0.114,3,-23816917
F. K-12 / 1801 - 3500,BERGEN,1130,DUMONT BORO,18307,0.276,0.708,0.016,0,0,0,12.3,84.7,174.5,0.084,3,-65786606
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,21767,0.133,0.836,0.026,0.006,0,0,11.7,63.3,185.4,0.119,3,-26138032
A. K-6,BERGEN,1270,EDGEWATER BORO,17076,0.099,0.892,0.009,0,0,0,16,156.3,220.7,0.064,3,-25872769
F. K-12 / 1801 - 3500,BERGEN,1345,ELMWOOD PARK,15116,0.165,0.786,0.037,0.006,0,0.006,16.4,115.6,208.1,0.155,3,-56225667
E. K-12 / 0 - 1800,BERGEN,1360,EMERSON BORO,16704,0.111,0.877,0.012,0,0,0,12.5,71,99.3,0.118,3,-34931216
F. K-12 / 1801 - 3500,BERGEN,1370,ENGLEWOOD CITY,21794,0.237,0.702,0.022,0.002,0.037,0,9.7,76.7,149.3,0.125,3,-97197402
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,22449,0.113,0.81,0.011,0.007,0.01,0.049,10,90.6,94.7,0.096,3,-20052450
G. K-12 / 3501 +,BERGEN,1450,FAIR LAWN BORO,19605,0.134,0.839,0.015,0.005,0,0.007,11.9,68.7,178.4,0.179,3,-152554313
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,13494,0.368,0.546,0.063,0,0.022,0.001,15.4,115.5,181.4,0.145,3,-25520435
G. K-12 / 3501 +,BERGEN,1550,FORT LEE BORO,17998,0.112,0.79,0.023,0,0.019,0.056,13.5,86.3,192.5,0.110,3,-105466401
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,23785,0.116,0.812,0.01,0.061,0,0.001,8.5,46,142.2,0.160,3,-50573611
G. K-12 / 3501 +,BERGEN,1700,GARFIELD CITY,20207,0.712,0.239,0.023,0,0.024,0.002,13.7,100.6,171.4,0.152,3,-54440861
F. K-12 / 1801 - 3500,BERGEN,1760,GLEN ROCK BORO,20718,0.116,0.873,0.011,0,0,0,11.4,74.6,159.2,0.143,3,-82235878
G. K-12 / 3501 +,BERGEN,1860,HACKENSACK CITY,19391,0.202,0.637,0.029,0.075,0.057,0,12.5,71.6,145.3,0.151,3,-144489181
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,18725,0.126,0.828,0.011,0,0.035,0,11.8,74.1,159.3,0.091,3,-20158134
F. K-12 / 1801 - 3500,BERGEN,2080,HASBROUCK HEIGHTS BORO,16039,0.131,0.85,0.02,0,0,0,14.5,68.8,168.4,0.123,3,-47990014
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,22385,0.11,0.88,0.01,0,0,0,11.2,73,143.6,0.078,3,-15618665
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,17538,0.129,0.852,0.017,0.003,0,0,12.1,71.6,162.5,0.171,3,-37128331
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,16322,0.113,0.859,0.011,0.011,0,0.006,13.6,103.1,165,0.102,3,-24016456
F. K-12 / 1801 - 3500,BERGEN,2620,LEONIA BORO,20393,0.2,0.597,0.015,0.187,0,0.001,11.1,65.8,131.2,0.117,3,-41814917
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,14447,0.133,0.823,0.025,0.004,0,0.015,14.5,126.5,210,0.094,3,-33114485
F. K-12 / 1801 - 3500,BERGEN,2740,LODI BOROUGH,17243,0.319,0.652,0.027,0.001,0,0.001,13.3,114.6,169.5,0.088,3,-76956351
F. K-12 / 1801 - 3500,BERGEN,2860,LYNDHURST TWP,17213,0.137,0.839,0.024,0,0,0,12.9,101.4,137.2,0.128,3,-65708428
F. K-12 / 1801 - 3500,BERGEN,2900,MAHWAH TWP,21090,0.115,0.872,0.013,0,0,0,11.9,86.3,139.8,0.124,3,-108630773
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,15822,0.141,0.832,0.021,0.006,0,0,13.6,111.5,159.8,0.124,3,-31624549
E. K-12 / 0 - 1800,BERGEN,3170,MIDLAND PARK BORO,22594,0.108,0.877,0.013,0.001,0,0.001,10.5,50.5,108.8,0.109,3,-36632494
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,17147,0.122,0.861,0.011,0.004,0,0.002,12.3,94.8,158,0.099,3,-27898131
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,24765,0.09,0.787,0.021,0.015,0,0.087,10.3,188.5,93,0.147,3,-14231861
F. K-12 / 1801 - 3500,BERGEN,3550,NEW MILFORD BORO,17512,0.148,0.825,0.022,0.005,0,0,12.6,72.1,154.3,0.138,3,-56260435
E. K-12 / 0 - 1800,BERGEN,3600,NORTH ARLINGTON BORO,15240,0.15,0.822,0.025,0.001,0,0.002,13.7,103,130.5,0.111,3,-43862404
