GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,19338,0.598,0.361,0.035,0.007,0,0,9.2,84.8,152.7,0.141,7,-8426766
F. K-12 / 1801 - 3500,CAMDEN,940,COLLINGSWOOD BORO,19041,0.4,0.447,0.027,0.126,0,0,11,85.4,113.8,0.138,7,-34711077
H. 7-12 / 9-12,CAMDEN,1255,EASTERN CAMDEN COUNTY REG,18775,0.321,0.661,0.015,0.004,0,0,15.3,107.9,157.7,0.114,7,-48088657
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,17649,0.388,0.579,0.019,0.01,0,0.004,10.7,75.3,161.8,0.091,7,-5238477
F. K-12 / 1801 - 3500,CAMDEN,1770,GLOUCESTER CITY,23680,0.801,0.078,0.046,0.027,0.019,0.029,25,120.4,186,0.157,7,-11490645
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,16403,0.526,0.378,0.024,0,0.064,0.008,12.7,77,179.1,0.140,7,-89318487
E. K-12 / 0 - 1800,CAMDEN,1880,HADDON HEIGHTS BORO,17357,0.178,0.546,0.019,0.258,0,0,10.7,76.7,127.7,0.110,7,-28061183
F. K-12 / 1801 - 3500,CAMDEN,1890,HADDON TWP,16657,0.332,0.642,0.023,0.003,0,0,15.3,128.1,206.2,0.162,7,-43382862
F. K-12 / 1801 - 3500,CAMDEN,1900,HADDONFIELD BORO,14906,0.123,0.85,0.014,0.013,0,0,12.8,85,182.8,0.153,7,-64360585
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,15615,0.408,0.559,0.023,0,0,0.01,12.3,135,94.5,0.131,7,-5220540
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,21834,0.476,0.46,0.064,0,0,0,11.3,90.3,45.2,0.141,7,-8522796
F. K-12 / 1801 - 3500,CAMDEN,2670,LINDENWOLD BORO,18159,0.659,0.262,0.056,0.016,0,0.007,11.4,89.6,128.8,0.124,7,-23904485
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,17454,0.48,0.454,0.036,0.004,0,0.026,10.3,127.7,132,0.162,7,-6725472
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,16545,0.397,0.569,0.03,0.004,0,0,12.1,91.8,279.2,0.140,7,-8020345
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,17788,0.431,0.534,0.025,0.002,0,0.008,13.6,108.5,108.5,0.174,7,-10881304
E. K-12 / 0 - 1800,CAMDEN,3770,OAKLYN BORO,16172,0.363,0.551,0.035,0.051,0,0,11,103.3,165.2,0.138,7,-9260916
G. K-12 / 3501 +,CAMDEN,4060,PENNSAUKEN TWP,18988,0.528,0.346,0.034,0.011,0.042,0.039,12.2,98.3,196.6,0.173,7,-85871996
F. K-12 / 1801 - 3500,CAMDEN,4110,PINE HILL BORO,19459,0.504,0.287,0.026,0.142,0.041,0,11,70,135.1,0.169,7,-27561429
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,15031,0.44,0.492,0.039,0.013,0,0.016,12.1,83.7,105.6,0.116,7,-13561414
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,15349,0.466,0.497,0.034,0.003,0,0,12.5,105.5,316.6,0.128,7,-7170105
H. 7-12 / 9-12,CAMDEN,5035,STERLING HIGH SCHOOL DIST,18341,0.447,0.398,0.021,0.116,0,0.018,12.4,75,76.7,0.173,7,-15622217
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,15840,0.413,0.441,0.024,0.109,0.014,0,13.6,76.7,168.8,0.176,7,-12782229
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,17641,0.186,0.749,0.019,0,0.047,0,12.7,74.1,186.9,0.109,7,-85128206
A. K-6,CAMDEN,5560,WATERFORD TWP,16825,0.502,0.464,0.025,0.009,0,0,11.9,64.1,163.3,0.136,7,-25784777
G. K-12 / 3501 +,CAMDEN,5820,WINSLOW TWP,20929,0.457,0.395,0.024,0.027,0.086,0.011,10.9,63.2,173.5,0.133,7,-94630128
B. K-8 / 0 - 400,CAMDEN,5900,WOODLYNNE BORO,16617,0.704,0.191,0.055,0.003,0,0.047,0,0,0,0.231,7,-4392641
K. CHARTER,CAMDEN,6024,CAMDEN'S PRIDE CHARTER SCHHOL,15854,0.852,0.075,0.073,0,0,0,8.2,239,119.5,0.046,80,-377699
K. CHARTER,CAMDEN,6063,CAMDEN COMMUNITY CHARTER SCHOOL,21337,0.652,0.27,0.079,0,0,0,13.6,0,75,0.000,80,0
K. CHARTER,CAMDEN,6083,KNOWLEDGE A TO Z CHARTER SCHOOL,15771,0.84,0.06,0.1,0,0,0,8.2,119.5,239,0.047,80,0
K. CHARTER,CAMDEN,6086,HOPE COMMUNITY CS,14941,0.795,0.032,0.173,0,0,0,8.6,101,101,0.000,80,0
K. CHARTER,CAMDEN,6212,CAMDEN ACADEMY CHARTER HS,21264,0.832,0.111,0.056,0,0,0.001,11.1,33.4,144.7,0.127,80,-1251130
K. CHARTER,CAMDEN,6215,CAMDEN'S PROMISE CS,20320,0.744,0.195,0.061,0,0,0,10.1,88.8,148,0.101,80,-3790552
K. CHARTER,CAMDEN,6232,ENVIRONMENT COMMUNITY CS,15884,0.831,0.086,0.082,0,0,0.001,10.4,156.4,41.3,0.048,80,-529100
K. CHARTER,CAMDEN,6240,FREEDOM ACADEMY CS,17633,0.887,0.032,0.08,0,0,0.001,9.9,232,232,0.129,80,-489846
K. CHARTER,CAMDEN,6325,D.U.E. SEASON CS,19387,0.826,0.052,0.122,0,0,0,10.2,108.2,67.6,0.068,80,-1085487
K. CHARTER,CAMDEN,7109,LEAP ACADEMY UNIVERSITY CS,16837,0.832,0.08,0.074,0,0,0.014,12.8,436.7,131,0.054,80,-2281341
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,48238,0.092,0.658,0.008,0.131,0,0.111,4.7,16.1,28.3,0.103,9,-7235517
A. K-6,CAPE MAY,710,CAPE MAY CITY,23302,0.258,0.485,0.245,0.012,0,0,7.3,0,45.7,0.106,9,-4348881
I. CSSD,CAPE MAY,715,CAPE MAY CO SPECIAL SERV,48357,0.099,0.346,0.014,0.541,0,0,6.1,9.9,45.8,0.903,9,-12420346
J. VOC,CAPE MAY,720,CAPE MAY CO VOCATIONAL,22821,0.164,0.483,0.023,0.33,0,0,9.8,121,93.4,0.136,9,-14168076
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,22510,0.441,0.534,0.021,0.004,0,0,9.8,52.6,144.8,0.184,9,-17658538
H. 7-12 / 9-12,CAPE MAY,2820,LOWER CAPE MAY REGIONAL,22566,0.369,0.602,0.029,0,0,0,10.1,69.1,155.1,0.279,9,-38512717
A. K-6,CAPE MAY,2840,LOWER TWP,16638,0.432,0.529,0.038,0.001,0,0,13.1,79.2,202.4,0.153,9,-31817572
F. K-12 / 1801 - 3500,CAPE MAY,3130,MIDDLE TWP,18993,0.376,0.534,0.035,0.055,0,0,12.2,91.9,191.6,0.182,9,-53473788
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,23710,0.182,0.702,0.037,0.079,0,0,8.4,59.6,93.8,0.157,9,-13687807
F. K-12 / 1801 - 3500,CAPE MAY,3780,OCEAN CITY,21757,0.172,0.558,0.019,0.244,0,0.007,10.9,89.7,174.8,0.108,9,-59312227
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,37057,0.077,0.713,0.008,0.203,0,0,6,730,23.6,0.041,9,-5481209
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,17340,0.321,0.641,0.02,0.019,0,0,11.7,78.6,195.4,0.114,9,-47645123
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,19029,0.381,0.57,0.039,0.009,0,0.001,11.8,159.2,45.9,0.038,9,-1768125
E. K-12 / 0 - 1800,CAPE MAY,5790,WILDWOOD CITY,23507,0.349,0.507,0.069,0.076,0,0,9.3,62.2,124.4,0.212,9,-22447642
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,26639,0.138,0.835,0.02,0.007,0,0,8.2,57.4,68.9,0.149,9,-13076433
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,21956,0.68,0.274,0.047,0,0,0,9.7,215,53.8,0.167,9,-2962818
G. K-12 / 3501 +,CUMBERLAND,540,BRIDGETON CITY,19373,0.891,0.038,0.063,0.006,0,0.002,11.3,81.2,306.7,0.073,11,-14740231
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,17702,0.809,0.136,0.054,0.001,0,0,13,83.4,171.8,0.181,11,-4219259
J. VOC,CUMBERLAND,995,CUMBERLAND CO VOCATIONAL,19957,0.521,0.303,0.039,0.13,0.008,0,18.4,94.4,67.4,0.270,11,-4328552
H. 7-12 / 9-12,CUMBERLAND,997,CUMBERLAND REGIONAL,19715,0.626,0.319,0.024,0.008,0,0.023,13.9,99.7,120.6,0.169,11,-16267536
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,17326,0.524,0.424,0.043,0.01,0,0,12.7,92.7,114.3,0.090,11,-4787845
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,19315,0.573,0.332,0.038,0.002,0.024,0.031,10.5,194,194,0.134,11,-3117073
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,18131,0.816,0.12,0.059,0,0,0.005,11,120.6,120.6,0.101,11,-2138595
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,22916,0.356,0.541,0.038,0.002,0.062,0.001,3.5,45.7,32,0.063,11,-1654568
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,15610,0.515,0.422,0.037,0.014,0.012,0,12.2,77.9,103.3,0.133,11,-7056305
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,17014,0.718,0.221,0.046,0.002,0.012,0.001,11.8,169.7,169.7,0.092,11,-4420653
C. K-8 / 401 - 750,CUMBERLAND,3050,MAURICE RIVER TWP,16133,0.615,0.315,0.033,0,0.037,0,12.1,154.5,188.9,0.129,11,-5825128
G. K-12 / 3501 +,CUMBERLAND,3230,MILLVILLE CITY,19216,0.781,0.105,0.045,0.069,0,0,11.4,76,137.8,0.183,11,-37606928
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,17696,0.477,0.485,0.036,0.002,0,0,6.4,84.3,118,0.076,11,-1945196
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,17547,0.51,0.434,0.043,0.008,0.004,0.001,11.7,78.6,157.2,0.125,11,-13284439
G. K-12 / 3501 +,CUMBERLAND,5390,VINELAND CITY,19453,0.847,0.109,0.032,0.009,0,0.003,11.4,64.8,198.5,0.144,11,-60783097
K. CHARTER,CUMBERLAND,6028,VINELAND PUBLIC CHARTER SCHOOL,11530,0.729,0.151,0.102,0,0,0.018,13.9,264,0,0.018,80,-745092
K. CHARTER,CUMBERLAND,6069,MILLVILLE PUBLIC CHARTER SCHOOL,12266,0.752,0.144,0.105,0,0,0,9.8,0,176,0.007,80,-311377
K. CHARTER,CUMBERLAND,6089,COMPASS ACADEMY CS,11226,0.668,0.157,0.174,0,0,0.001,14.6,51,102,0.000,80,0
G. K-12 / 3501 +,ESSEX,250,BELLEVILLE TOWN,24869,0.465,0.497,0.034,0,0,0.004,13.1,92.9,251.2,0.116,13,-69989972
G. K-12 / 3501 +,ESSEX,410,BLOOMFIELD TWP,16225,0.288,0.685,0.025,0.002,0,0,12.7,120.2,213.5,0.143,13,-123534704
F. K-12 / 1801 - 3500,ESSEX,660,CALDWELL-WEST CALDWELL,17161,0.116,0.845,0.021,0.001,0,0.017,12.8,107.9,164.6,0.137,13,-75855357
E. K-12 / 0 - 1800,ESSEX,760,CEDAR GROVE TWP,17371,0.114,0.871,0.014,0,0,0.001,12.6,72,150.5,0.097,13,-47809429
G. K-12 / 3501 +,ESSEX,1210,EAST ORANGE,25781,0.871,0.088,0.038,0,0,0.003,9.4,53.8,124.5,0.138,13,-54301415
J. VOC,ESSEX,1390,ESSEX CO VOC-TECH,21473,0.512,0.119,0.073,0.295,0,0.001,11.8,71.1,122.5,0.115,13,-21316755
A. K-6,ESSEX,1400,ESSEX FELLS BORO,24036,0.108,0.883,0.009,0,0,0,7.3,58.9,103,0.150,13,-8066889
A. K-6,ESSEX,1465,FAIRFIELD TWP,18501,0.12,0.864,0.014,0.002,0,0,11.1,90.7,123.8,0.095,13,-20031414
F. K-12 / 1801 - 3500,ESSEX,1750,GLEN RIDGE BORO,16623,0.111,0.862,0.011,0.016,0,0,12.2,75.7,176.2,0.123,13,-53032256
G. K-12 / 3501 +,ESSEX,2330,IRVINGTON TOWNSHIP,23058,0.853,0.112,0.035,0,0,0,11.5,69.1,160.1,0.090,13,-46138936
G. K-12 / 3501 +,ESSEX,2730,LIVINGSTON TWP,19275,0.121,0.866,0.013,0,0,0,13,72.4,178.1,0.130,13,-185496901
G. K-12 / 3501 +,ESSEX,3190,MILLBURN TWP,19086,0.118,0.864,0.014,0.004,0,0,12.2,78.3,188.6,0.122,13,-148222275
G. K-12 / 3501 +,ESSEX,3310,MONTCLAIR TOWN,19093,0.147,0.826,0.026,0.001,0,0,12,71,232.6,0.156,13,-202628756
G. K-12 / 3501 +,ESSEX,3570,NEWARK CITY,22267,0.833,0.113,0.053,0.001,0,0,8.4,43.7,65.4,0.148,13,-290429439
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,19734,0.105,0.877,0.011,0.007,0,0,9.8,76,167.3,0.128,13,-21931705
G. K-12 / 3501 +,ESSEX,3750,NUTLEY TOWN,16668,0.204,0.777,0.016,0.002,0,0.001,13.7,73,160.6,0.147,13,-99512496
G. K-12 / 3501 +,ESSEX,3880,CITY OF ORANGE TWP,21584,0.842,0.121,0.032,0.002,0,0.003,10,62.9,94.2,0.145,13,-26620284
A. K-6,ESSEX,4530,ROSELAND BORO,21807,0.129,0.852,0.011,0.008,0,0,10.9,61.7,110.2,0.119,13,-13924553
G. K-12 / 3501 +,ESSEX,4900,SOUTH ORANGE-MAPLEWOOD,18778,0.124,0.852,0.023,0,0,0.001,12.4,84.2,153.1,0.113,13,-205295120
F. K-12 / 1801 - 3500,ESSEX,5370,VERONA BORO,16584,0.129,0.85,0.017,0.004,0,0,14.1,69.1,128.5,0.097,13,-56341086
H. 7-12 / 9-12,ESSEX,5630,WEST ESSEX REGIONAL,23390,0.115,0.874,0.009,0.003,0,0,11.1,86.7,109.8,0.137,13,-62476395
G. K-12 / 3501 +,ESSEX,5680,WEST ORANGE TOWN,22489,0.142,0.832,0.022,0.004,0,0,11.3,63.7,175.9,0.162,13,-236319142
K. CHARTER,ESSEX,6020,PRIDE ACADEMY CHARTER SCHOOL,19389,0.845,0.102,0.052,0,0,0.001,9.4,87.3,37.4,0.133,80,-957003
K. CHARTER,ESSEX,6022,BURCH CHARTER SCHOOL OF EXCELLENCE,15484,0.782,0.149,0.068,0,0,0.001,14.4,85,85,0.020,80,-1115569
K. CHARTER,ESSEX,6029,NEWARK EDUCATORS CHARTER SCHOOL,18338,0.813,0.125,0.062,0,0,0,10.1,91,91,0.066,80,-1149961
K. CHARTER,ESSEX,6037,NEWARK LEGACY CS,15606,0.793,0.119,0.088,0,0,0,13,60,50,0.017,80,-653090
K. CHARTER,ESSEX,6038,VISIONS ACADEMY CS,17223,0.827,0.131,0.042,0,0,0,14.4,61.6,61.6,0.065,80,-62994
K. CHARTER,ESSEX,6053,GREAT OAKS CHARTER SCHOOL,20148,0.74,0.142,0.118,0,0,0,19.3,130,23.2,0.112,80,-375511
K. CHARTER,ESSEX,6057,PEOPLE'S PREPARATORY CHARTER SCHOOL,19272,0.786,0.136,0.079,0,0,0,11.2,70,93.3,0.122,80,-1795869
K. CHARTER,ESSEX,6058,ROSEVILLE COMMUNITY CS,14204,0.843,0.125,0.032,0,0,0,12.8,128,64,0.026,80,-1634050
K. CHARTER,ESSEX,6059,NEWARK PREP,20306,0.816,0.123,0.061,0,0,0,10.8,141,70.5,0.187,80,0
K. CHARTER,ESSEX,6090,PAULO FREIRE CS FOR LIBERTY ED,19663,0.784,0.135,0.081,0,0,0,0,0,0,0.099,80,0
K. CHARTER,ESSEX,6091,MERIT PREP CS OF NEWARK,15989,0.777,0.146,0.077,0,0,0,19.7,0,59,0.013,80,0
K. CHARTER,ESSEX,6094,PHILLIPS ACADEMY CHARTER SCHOOL,11971,0.926,0.065,0.009,0,0,0,11.7,112.4,61.8,0,80,0
K. CHARTER,ESSEX,6320,DISCOVERY CS,17657,0.794,0.153,0.052,0,0,0.001,6.3,0,37.5,0.053,80,-1262244
K. CHARTER,ESSEX,6410,EAST ORANGE COMMUNITY CS,16550,0.809,0.128,0.063,0,0,0,13.1,108.9,138,0.061,80,-1869282
K. CHARTER,ESSEX,6665,GRAY CS,16935,0.795,0.15,0.054,0,0,0.001,12.7,299,99.7,0.000,80,-1329335
K. CHARTER,ESSEX,7100,LADY LIBERTY ACADEMY CS,17506,0.767,0.132,0.061,0,0,0.04,10.3,113.5,90.8,0.079,80,-13875315
K. CHARTER,ESSEX,7210,MARION P. THOMAS CS,18138,0.826,0.124,0.05,0,0,0,12.9,168.3,96.1,0.018,80,-2405472
K. CHARTER,ESSEX,7280,GREATER NEWARK CS,23121,0.81,0.141,0.049,0,0,0,11.8,106,53,0.062,80,-764875
K. CHARTER,ESSEX,7290,NEW HORIZONS COMM. CS,16518,0.818,0.117,0.065,0,0,0,13.7,225.5,64.4,0.072,80,-1999635
K. CHARTER,ESSEX,7320,NORTH STAR ACAD. CS OF NEWARK,18565,0.803,0.139,0.059,0,0,0,11.4,208.5,91.9,0.063,80,-28117752
K. CHARTER,ESSEX,7325,TEAM ACADEMY CHARTER SCHOOL,21101,0.751,0.19,0.058,0,0,0.001,11.7,100.6,71.4,0.120,80,-28421128
K. CHARTER,ESSEX,7730,ROBERT TREAT ACADEMY CS,17070,0.827,0.129,0.044,0,0,0,12.5,175.1,149.8,0.028,80,-2387007
K. CHARTER,ESSEX,7735,MARIA L. VARISCO-ROGERS CS,18601,0.82,0.122,0.058,0,0,0,10.1,121.5,54,0.045,80,-1747989
K. CHARTER,ESSEX,8065,UNIVERSITY HEIGHTS CS,21656,0.788,0.143,0.069,0,0,0,8.5,156,78,0.060,80,-1245136
E. K-12 / 0 - 1800,GLOUCESTER,860,CLAYTON BORO,16461,0.564,0.378,0.041,0.017,0,0,12.3,107.5,139.7,0.142,15,-15721855
H. 7-12 / 9-12,GLOUCESTER,870,CLEARVIEW REGIONAL,15750,0.49,0.481,0.018,0.009,0,0.002,14.5,99.3,162.9,0.113,15,-33383223
G. K-12 / 3501 +,GLOUCESTER,1100,DEPTFORD TWP,15952,0.434,0.535,0.025,0.006,0,0,13.6,101.1,161,0.118,15,-71033681
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,13884,0.3,0.682,0.015,0.002,0,0.001,13.8,145.5,174.6,0.104,15,-19943679
A. K-6,GLOUCESTER,1330,ELK TWP,17820,0.516,0.427,0.038,0.019,0,0,10.9,89.8,179.5,0.095,15,-5217549
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,15307,0.468,0.453,0.035,0.045,0,0,12.5,81.6,198.1,0.106,15,-18827596
H. 7-12 / 9-12,GLOUCESTER,1715,GATEWAY REGIONAL,23253,0.422,0.498,0.019,0,0.062,0,11.2,69.9,77.8,0.171,15,-20619874
F. K-12 / 1801 - 3500,GLOUCESTER,1730,GLASSBORO,19134,0.467,0.442,0.037,0.009,0.037,0.008,11.7,95.7,169.4,0.159,15,-36399036
I. CSSD,GLOUCESTER,1774,GLOUCESTER CO SPEC SERV,48835,0.078,0.112,0.044,0.693,0.073,0,0,429.4,0,0.980,15,-28191789
J. VOC,GLOUCESTER,1775,GLOUCESTER CO VOCATIONAL,18309,0.395,0.406,0.039,0.115,0.026,0.019,17.4,187.9,375.8,0.129,15,-11598674
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,20857,0.16,0.795,0.027,0.017,0,0.001,10.4,62.2,115.4,0.188,15,-21238629
A. K-6,GLOUCESTER,2070,HARRISON TWP,14297,0.4,0.565,0.021,0.014,0,0,13.4,106.1,203.4,0.055,15,-22486140
H. 7-12 / 9-12,GLOUCESTER,2440,KINGSWAY REGIONAL,15660,0.337,0.56,0.012,0.09,0,0.001,13.2,106,135.4,0.138,15,-37241073
D. K-8 / 751 +,GLOUCESTER,2750,LOGAN TWP,17826,0.351,0.618,0.019,0.012,0,0,10.3,92.6,147.9,0.094,15,-23259593
A. K-6,GLOUCESTER,2990,MANTUA TWP,17134,0.359,0.567,0.027,0.019,0.018,0.01,0,0,0,0.147,15,-24722077
G. K-12 / 3501 +,GLOUCESTER,3280,MONROE TWP,16240,0.456,0.504,0.03,0.004,0,0.006,14.1,92.5,208.7,0.152,15,-89373065
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,17351,0.491,0.385,0.037,0.008,0.065,0.014,11,89.7,149.4,0.134,15,-3828669
E. K-12 / 0 - 1800,GLOUCESTER,4020,PAULSBORO BORO,19488,0.616,0.243,0.058,0.068,0,0.015,10.8,66.7,116.7,0.191,15,-12878648
E. K-12 / 0 - 1800,GLOUCESTER,4140,PITMAN BORO,17945,0.459,0.483,0.024,0.007,0.027,0,12.2,74.9,0,0.155,15,-25586703
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,15319,0.362,0.611,0.019,0.002,0,0.006,12.9,112.1,134.5,0.141,15,-5686001
H. 7-12 / 9-12,GLOUCESTER,4940,DELSEA REGIONAL H.S DIST.,19048,0.461,0.423,0.02,0.047,0.05,0,14,84.7,148.3,0.123,15,-27472990
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,15446,0.362,0.623,0.015,0,0,0,12.9,107.2,222.4,0.128,15,-27080289
G. K-12 / 3501 +,GLOUCESTER,5500,WASHINGTON TWP,19570,0.408,0.514,0.018,0.003,0.057,0,11.3,72.1,169.2,0.150,15,-158566339
A. K-6,GLOUCESTER,5590,WENONAH BORO,15859,0.227,0.727,0.015,0.024,0.009,0,10.4,126.1,162.1,0.141,15,-4783091
F. K-12 / 1801 - 3500,GLOUCESTER,5620,WEST DEPTFORD TWP,15601,0.343,0.629,0.027,0.001,0,0,14.4,79,157.6,0.175,15,-59621422
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,15817,0.49,0.407,0.037,0,0.052,0.014,11.6,62.6,165,0.187,15,-4570633
E. K-12 / 0 - 1800,GLOUCESTER,5860,WOODBURY CITY,20085,0.504,0.432,0.058,0.006,0,0,11.5,75.1,128.2,0.152,15,-23763880
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,17387,0.382,0.585,0.033,0,0,0,10.2,46,150,0.162,15,-4738891
G. K-12 / 3501 +,HUDSON,220,BAYONNE CITY,15789,0.469,0.492,0.038,0.001,0,0,13.8,132.7,222.2,0.135,17,-124072963
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,15893,0.656,0.239,0.105,0,0,0,14.1,62,111.4,0.077,17,-2731697
D. K-8 / 751 +,HUDSON,1850,GUTTENBERG TOWN,13611,0.318,0.566,0.056,0,0.06,0,13.3,101.3,136.4,0.092,17,-20650198
F. K-12 / 1801 - 3500,HUDSON,2060,HARRISON TOWN,22854,0.713,0.192,0.045,0.046,0,0.004,12.5,80.2,104.9,0.136,17,-22475298
F. K-12 / 1801 - 3500,HUDSON,2210,HOBOKEN CITY,24318,0.398,0.566,0.029,0.001,0,0.006,6.6,33.7,79.2,0.103,17,-76511203
J. VOC,HUDSON,2295,HUDSON COUNTY VOCATIONAL,25592,0.429,0.481,0.078,0.011,0,0.001,13.8,84.6,129.7,0.068,17,-27308514
G. K-12 / 3501 +,HUDSON,2390,JERSEY CITY,23435,0.788,0.166,0.046,0,0,0,9.8,62.3,143.3,0.124,17,-255681899
G. K-12 / 3501 +,HUDSON,2410,KEARNY TOWN,15184,0.44,0.52,0.034,0,0,0.006,13,100.2,171.8,0.129,17,-96542336
G. K-12 / 3501 +,HUDSON,3610,NORTH BERGEN TWP,15425,0.558,0.369,0.039,0.034,0,0,13.4,125.7,181,0.137,17,-92326833
F. K-12 / 1801 - 3500,HUDSON,4730,SECAUCUS TOWN,17886,0.118,0.862,0.02,0,0,0,13,94.7,181.6,0.110,17,-63772389
G. K-12 / 3501 +,HUDSON,5240,UNION CITY,20868,0.896,0.064,0.04,0,0,0,15.3,148.6,176,0.103,17,-44026895
E. K-12 / 0 - 1800,HUDSON,5580,WEEHAWKEN TWP,18998,0.215,0.752,0.028,0.005,0,0,12,72,81,0.076,17,-35225996
G. K-12 / 3501 +,HUDSON,5670,WEST NEW YORK TOWN,17558,0.862,0.097,0.037,0,0,0.004,13.3,76.6,153.1,0.119,17,-36836576
K. CHARTER,HUDSON,6030,THE ETHICAL COMMUNITY CHARTER SCHOOL,12366,0.683,0.29,0.028,0,0,0,8.4,67.1,45.1,0.080,80,-2414090
K. CHARTER,HUDSON,6036,HOLA HOBOKEN DUAL LANG CS,13068,0.155,0.832,0.013,0,0,0,12.8,0,122,0.014,80,-3437998
K. CHARTER,HUDSON,6064,DR LENA EDWARDS ACADEMIC CS,14985,0.639,0.229,0.132,0,0,0,13,94.3,125.7,0.088,80,-3193448
K. CHARTER,HUDSON,6068,M E T S CHARTER SCHOOL,12456,0.724,0.234,0.042,0,0,0,28.8,480,96,0.025,80,-1460225
K. CHARTER,HUDSON,6082,BELOVED COMMUNITY CHARTER SCHOOL,13557,0.296,0.629,0.074,0,0,0.001,11.8,117.5,117.5,0.020,80,0
K. CHARTER,HUDSON,6093,JERSEY CITY GLOBAL CS,12814,0.581,0.256,0.164,0,0,0,10.7,0,160,0.000,80,0
K. CHARTER,HUDSON,6420,ELYSIAN CS OF HOBOKEN,15705,0.35,0.63,0.021,0,0,0,11.7,75.8,125.2,0.139,80,-5188065
K. CHARTER,HUDSON,6720,HOBOKEN CS,17603,0.974,0.001,0.024,0,0,0.001,8.1,221.6,55.4,0.106,80,-259845
K. CHARTER,HUDSON,6910,JERSEY CITY COMM. CS,14449,0.689,0.234,0.077,0,0,0,16.1,289.5,193,0.042,80,-3523542
K. CHARTER,HUDSON,6915,JERSEY CITY GOLDEN DOOR,13144,0.707,0.233,0.06,0,0,0,12,106.7,96,0.068,80,-2789713
K. CHARTER,HUDSON,7115,LEARNING COMMUNITY CS,13559,0.728,0.23,0.042,0,0,0,13.6,81.2,214.4,0.066,80,-5557319
K. CHARTER,HUDSON,7830,SOARING HEIGHTS CS,13063,0.721,0.221,0.058,0,0,0,0,0,0,0.066,80,-1310492
K. CHARTER,HUDSON,8060,UNIVERSITY ACADEMY CS,16237,0.731,0.22,0.049,0,0,0,10.3,60.7,63.5,0.158,80,-2900952
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,21218,0.25,0.711,0.018,0.014,0.002,0.005,9.2,51.5,89,0.110,19,-15828647
B. K-8 / 0 - 400,HUNTERDON,370,BETHLEHEM TWP,21716,0.243,0.735,0.022,0,0,0,8.9,49.5,150,0.144,19,-14471140
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,19400,0.476,0.487,0.032,0.005,0,0,39.7,192.9,245.5,0.207,19,-3202503
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,23036,0.195,0.782,0.015,0.008,0,0,7.4,71.3,46,0.105,19,-4067695
