CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,440,13809623,8355939,7786623,353385,215931,2001172,1777108,1780847,1170671,1211162,251448,0,442482,367149,1106,BOGOTA BORO,BERGEN,E. K-12 / 0 - 1800,3,DE,,1,BERGEN
3,740,8360489,5174307,4898920,227737,47650,1094926,815053,1087315,927686,967087,411130,0,28488,34919,593,CARLSTADT BORO,BERGEN,C. K-8 / 401 - 750,2,DE,,1,BERGEN
3,745,9064841,4917185,4585673,286171,45341,1437872,961715,1074874,828193,1200998,682230,0,399505,1368,444,CARLSTADT-EAST RUTHERFORD,BERGEN,H. 7-12 / 9-12,5,CD,,1,BERGEN
3,890,34694381,22835145,21628065,619303,587777,4673321,3622919,3791137,2792877,2418789,1349422,0,785761,189236,2910,CLIFFSIDE PARK BORO,BERGEN,F. K-12 / 1801 - 3500,3,B,,1,BERGEN
3,930,16052522,10345210,9817606,338407,189197,2116422,1762312,1870887,1678472,1635192,1003561,0,84077,24661,1124,CLOSTER BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,990,23473603,14597005,13780583,554964,261458,2988143,2636050,2908191,2519813,2300786,1249976,0,679478,84243,1715,CRESSKILL BORO,BERGEN,E. K-12 / 0 - 1800,3,I,,1,BERGEN
3,1070,10730020,6161921,5680777,306226,174918,1920061,1668103,1214746,1090231,1234070,572545,1929,129811,16754,682,DEMAREST BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,1130,35925861,22432866,21256989,1071403,104474,3806635,3509833,4375283,3899161,4380067,2663639,0,855299,0,2613,DUMONT BORO,BERGEN,F. K-12 / 1801 - 3500,3,FG,,1,BERGEN
3,1230,12441742,7862789,7531096,259578,72115,1815505,1438399,1376093,1000261,1308132,649651,0,45265,33951,775,EAST RUTHERFORD BORO,BERGEN,D. K-8 / 751 +,2,CD,,1,BERGEN
3,1270,8436278,5581930,5289532,182615,109783,932110,449778,959248,759103,961415,389130,0,1575,13300,802,EDGEWATER BORO,BERGEN,A. K-6,1,DE,,1,BERGEN
3,1345,25017897,13259200,12493288,385948,379964,3707310,2714922,4203544,3334547,3161128,1755218,0,506484,14707,2527,ELMWOOD PARK,BERGEN,F. K-12 / 1801 - 3500,3,CD,,1,BERGEN
3,1360,15539383,8775781,8429913,249374,96494,1860642,1399643,2309866,2176832,1821402,1083996,0,728698,0,1192,EMERSON BORO,BERGEN,E. K-12 / 0 - 1800,3,GH,,1,BERGEN
3,1370,49812185,29395721,26421923,515256,2458542,8635983,6185720,4861567,3674416,6239066,892597,0,636195,42810,3054,ENGLEWOOD CITY,BERGEN,F. K-12 / 1801 - 3500,3,DE,,1,BERGEN
3,1380,9465109,5291008,4796628,321854,172526,2408640,1940845,891023,574729,851494,452519,0,5164,49682,523,ENGLEWOOD CLIFFS BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
