GROUP,CONAME,DIST,DISTNAME,PP114,PP214,PP314
A. K-6,,,1. State average - Operating Type K-6,0.304,0.319,0.351
A. K-6,,,2. State median - Operating Type K-6,0.287,0.299,0.325
A. K-6,,,5. State average - All operating types,0.291,0.292,0.315
A. K-6,,,6. State median - All operating types,0.277,0.281,0.306
A. K-6,BERGEN,1270,EDGEWATER BORO,0.298,0.315,0.332
A. K-6,BERGEN,3870,ORADELL BORO,0.265,0.282,0.304
A. K-6,BERGEN,4410,RIVER EDGE BORO,0.239,0.242,0.292
A. K-6,BERGEN,4620,SADDLE RIVER BORO,0.336,0.360,0.379
A. K-6,BURLINGTON,200,BASS RIVER TWP,0.297,0.299,0.336
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,0.303,0.324,0.335
A. K-6,BURLINGTON,2960,MANSFIELD TWP,0.278,0.299,0.348
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,0.323,0.382,0.419
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,0.327,0.329,0.360
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,0.303,0.304,0.326
A. K-6,CAMDEN,5560,WATERFORD TWP,0.247,0.228,0.295
A. K-6,CAPE MAY,710,CAPE MAY CITY,0.291,0.311,0.307
A. K-6,CAPE MAY,2840,LOWER TWP,0.421,0.441,0.389
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,0.144,0.156,0.201
A. K-6,ESSEX,1400,ESSEX FELLS BORO,0.265,0.260,0.304
A. K-6,ESSEX,1465,FAIRFIELD TWP,0.299,0.298,0.322
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,0.356,0.347,0.371
A. K-6,ESSEX,4530,ROSELAND BORO,0.253,0.256,0.299
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,0.246,0.254,0.305
A. K-6,GLOUCESTER,1330,ELK TWP,0.300,0.309,0.334
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,0.345,0.357,0.370
A. K-6,GLOUCESTER,2070,HARRISON TWP,0.257,0.261,0.280
A. K-6,GLOUCESTER,2990,MANTUA TWP,0.322,0.356,0.382
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,0.283,0.276,0.310
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,0.187,0.182,0.268
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,0.308,0.365,0.472
A. K-6,GLOUCESTER,5590,WENONAH BORO,0.227,0.232,0.240
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,0.275,0.265,0.290
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,0.204,0.215,0.250
