GROUP,CONAME,DIST,DISTNAME,PP14,RK14,PCT14,PP24,RK24,PCT24,PP34,RK34,PCT34
A. K-6,,,1. State average - Operating Type K-6,324,,,323,,,336,,
A. K-6,,,2. State median - Operating Type K-6,329,,,351,,,366,,
A. K-6,,,5. State average - All operating types,312,,,321,,,331,,
A. K-6,,,6. State median - All operating types,305,,,324,,,339,,
A. K-6,BERGEN,1270,EDGEWATER BORO,250,13,0.026,228,13,0.022,386,33,0.034
A. K-6,BERGEN,3870,ORADELL BORO,532,50,0.043,351,29,0.029,382,31,0.029
A. K-6,BERGEN,4410,RIVER EDGE BORO,283,21,0.024,161,1,0.013,176,3,0.013
A. K-6,BERGEN,4620,SADDLE RIVER BORO,42,1,0.002,325,25,0.015,303,21,0.012
A. K-6,BURLINGTON,200,BASS RIVER TWP,355,34,0.022,376,30,0.019,330,26,0.020
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,142,2,0.013,223,12,0.021,197,8,0.018
A. K-6,BURLINGTON,2960,MANSFIELD TWP,295,24,0.025,189,5,0.014,367,29,0.028
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,289,23,0.019,252,15,0.016,266,18,0.017
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,338,31,0.022,532,46,0.030,400,35,0.021
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,409,40,0.033,402,32,0.034,413,39,0.035
A. K-6,CAMDEN,5560,WATERFORD TWP,286,22,0.024,222,11,0.016,445,43,0.030
A. K-6,CAPE MAY,710,CAPE MAY CITY,771,55,0.032,681,53,0.035,433,41,0.022
A. K-6,CAPE MAY,2840,LOWER TWP,205,6,0.015,237,14,0.018,283,20,0.021
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,485,47,0.032,686,54,0.047,890,53,0.059
A. K-6,ESSEX,1400,ESSEX FELLS BORO,468,46,0.025,613,51,0.033,589,51,0.030
A. K-6,ESSEX,1465,FAIRFIELD TWP,332,29,0.024,350,28,0.023,220,11,0.015
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,495,48,0.035,596,50,0.039,401,36,0.024
A. K-6,ESSEX,4530,ROSELAND BORO,248,12,0.018,183,4,0.011,186,5,0.012
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,269,17,0.029,254,16,0.026,406,38,0.038
A. K-6,GLOUCESTER,1330,ELK TWP,169,3,0.014,338,27,0.026,151,2,0.011
