GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
A. K-6,,,1. State average - Operating Type K-6,12899,,13377,,13961,,,,,
A. K-6,,,2. State median - Operating Type K-6,13673,,14234,,15009,,,,,
A. K-6,,,5. State average - All operating types,14164,,14543,,15067,,,,,
A. K-6,,,6. State median - All operating types,13709,,14150,,14543,,,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,9801,2,10514,4,11417,6,765,802,938,
A. K-6,BERGEN,3870,ORADELL BORO,12422,18,12270,11,13112,14,784,774,775,
A. K-6,BERGEN,4410,RIVER EDGE BORO,12042,14,12447,14,13683,20,1196,1167,1147,
A. K-6,BERGEN,4620,SADDLE RIVER BORO,21839,52,22298,55,24741,56,207,198,193,
A. K-6,BURLINGTON,200,BASS RIVER TWP,16442,47,19785,51,16436,39,123,109,135,
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,10705,8,10744,6,10879,2,639,696,743,
A. K-6,BURLINGTON,2960,MANSFIELD TWP,11880,12,13410,22,12970,13,714,727,745,
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,15418,43,15739,39,15409,32,1264,1267,1320,
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,15405,42,17642,47,19342,49,262,245,233,
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,12393,17,11880,10,11898,9,186,191,207,
A. K-6,CAMDEN,5560,WATERFORD TWP,11982,13,13904,25,14711,27,908,898,908,
A. K-6,CAPE MAY,710,CAPE MAY CITY,23739,54,19584,50,19549,50,134,160,163,
A. K-6,CAPE MAY,2840,LOWER TWP,13521,27,13369,21,13615,19,1811,1826,1819,
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,15221,39,14514,30,15015,29,66,75,85,
A. K-6,ESSEX,1400,ESSEX FELLS BORO,18560,48,18874,48,19769,51,210,207,218,
A. K-6,ESSEX,1465,FAIRFIELD TWP,14039,32,15093,35,15003,28,691,643,665,
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,14254,33,15262,37,16497,40,716,672,681,
A. K-6,ESSEX,4530,ROSELAND BORO,13707,29,16475,42,15176,31,489,419,469,
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,9307,1,9840,2,10581,1,1192,1221,1317,
A. K-6,GLOUCESTER,1330,ELK TWP,12139,15,13181,18,13996,23,365,354,351,
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,11243,9,11557,8,12790,11,1406,1385,1352,
A. K-6,GLOUCESTER,2070,HARRISON TWP,10588,6,10503,3,11162,3,1442,1473,1472,
A. K-6,GLOUCESTER,2990,MANTUA TWP,12438,19,13206,19,13868,21,1332,1312,1323,
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,13766,30,13524,23,14402,25,255,272,275,
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,10298,4,9830,1,11246,4,360,373,369,
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,9993,3,10695,5,11617,8,1756,1760,1803,
A. K-6,GLOUCESTER,5590,WENONAH BORO,11554,10,13028,17,13117,15,244,223,231,
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,12910,22,12692,16,13538,18,347,365,371,
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,12843,21,14134,27,15591,34,222,212,208,
A. K-6,HUNTERDON,2590,LEBANON BORO,25159,56,22094,54,20026,52,76,91,102,
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,13639,28,13941,26,12947,12,321,320,369,
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,19475,50,19477,49,22409,54,175,177,171,
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,18761,49,15649,38,16999,43,90,96,99,
A. K-6,MORRIS,3240,MINE HILL TWP,10585,5,11681,9,11575,7,413,389,413,
A. K-6,OCEAN,230,BEACH HAVEN BORO,22713,53,20189,52,22281,53,66,74,80,
A. K-6,OCEAN,320,BERKELEY TWP,12366,16,12582,15,13375,17,2057,2112,2118,
A. K-6,OCEAN,1150,EAGLESWOOD TWP,15273,41,15087,34,16205,37,136,143,145,
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,14959,38,17493,46,15738,35,119,106,135,
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,13143,24,14163,28,14128,24,1751,1666,1777,
A. K-6,OCEAN,2760,LONG BEACH ISLAND,20686,51,23868,56,24045,55,247,230,250,
A. K-6,OCEAN,3800,OCEAN GATE BORO,14516,35,17214,45,18758,48,166,143,144,
A. K-6,OCEAN,3820,OCEAN TWP,15247,40,16462,41,17410,46,537,519,541,
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,24852,55,21444,53,15999,36,165,204,226,
A. K-6,OCEAN,5020,STAFFORD TWP,13828,31,13351,20,14414,26,2235,2271,2228,
A. K-6,OCEAN,5220,TUCKERTON BORO,11761,11,12315,12,12454,10,330,328,365,
A. K-6,SUSSEX,1630,FREDON TWP,12986,23,15199,36,16417,38,323,276,265,
A. K-6,SUSSEX,1980,HAMPTON TWP,15594,44,16336,40,16963,42,345,325,344,
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,16124,46,16531,43,18239,47,151,148,144,
A. K-6,SUSSEX,5040,STILLWATER TWP,14428,34,14974,32,17020,44,355,343,338,
A. K-6,WARREN,400,BLAIRSTOWN TWP,13178,25,13725,24,15096,30,555,533,513,
A. K-6,WARREN,1620,FRANKLIN TWP,15833,45,17162,44,17378,45,271,251,253,
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,14521,36,14916,31,13965,22,153,153,163,
A. K-6,WARREN,2470,KNOWLTON TWP,14771,37,15085,33,16749,41,245,242,233,
A. K-6,WARREN,2970,MANSFIELD TWP,10689,7,11278,7,11415,5,704,708,717,
A. K-6,WARREN,5480,WASHINGTON BORO,12607,20,12348,13,13273,16,543,551,547,
A. K-6,WARREN,5530,WASHINGTON TWP,13259,26,14304,29,15474,33,596,545,520,
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,13346,,13878,,14752,,,,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,13619,,14143,,15192,,,,,
B. K-8 / 0 - 400,,,5. State average - All operating types,14164,,14543,,15067,,,,,
B. K-8 / 0 - 400,,,6. State median - All operating types,13709,,14150,,14543,,,,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,13638,29,15506,41,15368,34,196,177,180,
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,15244,43,13748,23,14432,22,117,128,128,
