CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
,,STATE AVERAGE - ALL OPERATING TYPES,,,18909,,,,19210,,,
,,STATE MEDIAN - ALL OPERATING TYPES,,,18034,,,,18503,,,
ATLANTIC,10,ABSECON CITY,13409191,937.9,14297,7,13898040,910.8,15259,9,"K. K-12|K-8,751+",KK-12K-8751plus
ATLANTIC,110,ATLANTIC CITY,183301283,7139,25676,103,195583437,7135.2,27411,103,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,120,ATLANTIC CO VOCATIONAL,18598352,1116.1,16663,4,21826909,1188,18373,4,Q. COUNTY VOC,QCOUNTYVOC
ATLANTIC,125,ATLANTIC CO SPECIAL SERV,23881860,434,55032,4,24390039,431,56584,6,P. CSSD,PCSSD
ATLANTIC,570,BRIGANTINE CITY,22850903,987.6,23137,60,21657249,898.2,24113,60,"J. K-12|K-8,401-750",JK-12K-8401-750
ATLANTIC,590,BUENA REGIONAL,43107537,2247,19185,51,41923841,2078.6,20169,57,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
ATLANTIC,1300,EGG HARBOR CITY,11540821,505.5,22829,59,11756656,504,23328,59,"D. K-8|K-8,401-750",DK-8K-8401-750
ATLANTIC,1310,EGG HARBOR TWP,136093960,7785.4,17481,37,136451387,7593.1,17970,36,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,1410,ESTELL MANOR CITY,4763500,268.5,17741,29,4828257,238.6,20236,40,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,1540,FOLSOM BORO,7689958,525.2,14642,2,8388635,525,15979,7,"J. K-12|K-8,401-750",JK-12K-8401-750
ATLANTIC,1690,GALLOWAY TWP,61156794,3433.3,17813,51,63336967,3385.8,18707,54,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,1790,GREATER EGG HARBOR REG,75683150,3751,20177,20,78082439,3578.4,21821,26,"G. G9-12|7-12,9-12",GG9-127-129-12
ATLANTIC,1940,HAMILTON TWP,50715371,3113.4,16290,22,53469036,3144.7,17003,24,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,1960,HAMMONTON TOWN,50244989,3631.3,13836,1,52701420,3663.9,14384,1,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,2680,LINWOOD CITY,16004436,884.7,18089,57,15957177,864.9,18450,51,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,2910,MAINLAND REGIONAL,31621233,1429.9,22114,31,31947897,1430.6,22333,30,"G. G9-12|7-12,9-12",GG9-127-129-12
ATLANTIC,3020,MARGATE CITY,15699478,602.4,26060,62,15217281,568.1,26787,62,"J. K-12|K-8,401-750",JK-12K-8401-750
ATLANTIC,3480,MULLICA TWP,12232191,723.9,16898,33,12615843,700.6,18008,43,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,3720,NORTHFIELD CITY,16414423,1007.5,16292,23,16067873,974.8,16484,22,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,4180,PLEASANTVILLE CITY,92891674,4518.3,20559,82,92664771,4038.9,22943,93,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,4240,PORT REPUBLIC CITY,2733864,163.5,16723,16,2928933,179.7,16299,7,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,4800,SOMERS POINT CITY,17321476,1096.3,15801,17,17507745,1065.9,16425,21,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,5350,VENTNOR CITY,24361642,1214.6,20058,74,23858237,1113.2,21433,77,"K. K-12|K-8,751+",KK-12K-8751plus
ATLANTIC,5760,WEYMOUTH TWP,5374028,300.6,17876,32,5227486,269.1,19425,35,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,6612,GALLOWAY COMMUNITY CHARTER SCHOOL,3632996,194.2,18707,71,3847501,226.8,16964,53,O. CHARTER,OCHARTER
ATLANTIC,7410,CHARTER-TECH H.S. FOR PRF. ARTS,4844664,303.5,15963,40,5250638,327.7,16023,41,O. CHARTER,OCHARTER
BERGEN,40,ALLENDALE BORO,15501480,935.2,16576,28,17356748,911.6,19041,57,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,80,ALPINE BORO,5954061,216.8,27459,71,6077466,238.6,25471,69,"I. K-12|K-8,0-400",IK-12K-80-400
BERGEN,285,BERGEN CO SPECIAL SERVICE,62623643,666.5,93953,8,61967715,677.5,91459,8,P. CSSD,PCSSD
BERGEN,290,BERGEN COUNTY VOCATIONAL,70909248,2105.1,33685,21,71577083,2127.9,33637,21,Q. COUNTY VOC,QCOUNTYVOC
BERGEN,300,BERGENFIELD BORO,64545157,3598.4,17937,32,68379516,3463.3,19744,53,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,440,BOGOTA BORO,21222785,1159.1,18310,28,23177516,1145.6,20232,36,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,740,CARLSTADT BORO,12377946,609.9,20295,49,12365207,603,20507,44,"D. K-8|K-8,401-750",DK-8K-8401-750
BERGEN,745,CARLSTADT-EAST RUTHERFORD,13662232,525.6,25994,43,14970772,478.2,31310,46,"G. G9-12|7-12,9-12",GG9-127-129-12
BERGEN,890,CLIFFSIDE PARK BORO,43806407,2857.9,15328,6,47485345,2943.4,16133,10,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,930,CLOSTER BORO,19701224,1133.2,17385,45,20362131,1132.9,17973,42,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,990,CRESSKILL BORO,30355225,1716.7,17682,25,30948399,1739.5,17792,22,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,1070,DEMAREST BORO,14090743,688.1,20478,52,15018555,700.9,21428,53,"D. K-8|K-8,401-750",DK-8K-8401-750
BERGEN,1130,DUMONT BORO,47781359,2723,17547,26,48991455,2676.1,18307,34,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,1230,EAST RUTHERFORD BORO,16522427,779.5,21197,78,17200259,790.2,21767,79,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,1270,EDGEWATER BORO,18337308,1114.3,16457,19,19959787,1168.9,17076,20,H. K-12|K-6,HK-12K-6
BERGEN,1345,ELMWOOD PARK,38044175,2615.9,14543,2,39296461,2599.7,15116,3,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,1360,EMERSON BORO,20386314,1216.7,16755,11,20325538,1216.8,16704,14,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,1370,ENGLEWOOD CITY,64810537,3052.7,21231,62,67759573,3109.1,21794,63,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,1380,ENGLEWOOD CLIFFS BORO,11509594,526,21881,56,12640497,563.1,22449,57,"J. K-12|K-8,401-750",JK-12K-8401-750
BERGEN,1450,FAIR LAWN BORO,91707190,4719.9,19430,68,93074865,4747.5,19605,67,"N. K-12|K-12,3500+",NK-12K-123500plus
BERGEN,1470,FAIRVIEW BORO,23400157,1667.9,14030,4,23631848,1751.2,13494,1,"K. K-12|K-8,751+",KK-12K-8751plus
BERGEN,1550,FORT LEE BORO,65397580,3802.9,17197,31,68555027,3809.1,17998,37,"N. K-12|K-12,3500+",NK-12K-123500plus
BERGEN,1580,FRANKLIN LAKES BORO,30862452,1324.9,23294,82,30747050,1292.7,23785,81,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,1700,GARFIELD CITY,103089518,5029.8,20496,78,102448906,5070,20207,72,"N. K-12|K-12,3500+",NK-12K-123500plus
BERGEN,1760,GLEN ROCK BORO,51395846,2413.6,21294,64,50404929,2432.9,20718,59,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,1860,HACKENSACK CITY,103776144,4306.7,24096,98,107864947,5562.6,19391,62,"N. K-12|K-12,3500+",NK-12K-123500plus
BERGEN,2050,HARRINGTON PARK BORO,11902263,644,18481,33,12351062,659.6,18725,30,"D. K-8|K-8,401-750",DK-8K-8401-750
BERGEN,2080,HASBROUCK HEIGHTS BORO,29347100,1940,15127,5,30843361,1923,16039,8,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,2090,HAWORTH BORO,8894130,438.2,20299,50,9887202,441.7,22385,56,"D. K-8|K-8,401-750",DK-8K-8401-750
BERGEN,2180,HILLSDALE BORO,22139507,1340.9,16511,27,23040026,1313.7,17538,35,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,2200,HO HO KUS BORO,14171945,868.1,16325,16,14681613,899.5,16322,10,"J. K-12|K-8,401-750",JK-12K-8401-750
BERGEN,2620,LEONIA BORO,33530906,1843.5,18189,37,34588243,1696.1,20393,58,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,2710,LITTLE FERRY BORO,20304441,1361.3,14916,11,19534787,1352.2,14447,3,"K. K-12|K-8,751+",KK-12K-8751plus
BERGEN,2740,LODI BOROUGH,57466355,3476.4,16531,18,60081342,3484.3,17243,20,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,2860,LYNDHURST TWP,40450716,2288.8,17673,29,40685961,2363.6,17213,19,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,2900,MAHWAH TWP,64486414,3267.8,19734,55,68134931,3230.7,21090,61,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,3060,MAYWOOD BORO,19846662,1236.5,16051,20,20414780,1290.3,15822,14,"K. K-12|K-8,751+",KK-12K-8751plus
BERGEN,3170,MIDLAND PARK BORO,21950325,1074.7,20426,39,23020729,1018.9,22594,42,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,3330,MONTVALE BORO,17533302,1089.3,16096,21,18147486,1058.4,17147,27,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,3350,MOONACHIE BORO,11163183,388.5,28733,72,9728110,392.8,24765,66,"I. K-12|K-8,0-400",IK-12K-80-400
BERGEN,3550,NEW MILFORD BORO,34469764,2106,16368,16,35794863,2044,17512,24,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,3600,NORTH ARLINGTON BORO,27788758,1739.9,15972,8,26927120,1766.8,15240,1,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,3700,NORTHERN HIGHLANDS REG,28533495,1357.6,21018,28,29615242,1382.5,21421,25,"G. G9-12|7-12,9-12",GG9-127-129-12
BERGEN,3710,NORTHERN VALLEY REGIONAL,58134429,2509,23170,37,60641970,2425.2,25005,40,"G. G9-12|7-12,9-12",GG9-127-129-12
BERGEN,3730,NORTHVALE BORO,9778768,550.6,17762,27,10263342,539.2,19035,34,"D. K-8|K-8,401-750",DK-8K-8401-750
BERGEN,3740,NORWOOD BORO,10243200,592.6,17285,24,11257505,600.1,18759,31,"D. K-8|K-8,401-750",DK-8K-8401-750
BERGEN,3760,OAKLAND BORO,29738285,1664.6,17865,53,28644613,1633.2,17539,36,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,3850,OLD TAPPAN BORO,14450968,780,18527,34,14874648,779,19095,35,"D. K-8|K-8,401-750",DK-8K-8401-750
BERGEN,3870,ORADELL BORO,12130367,792.7,15303,9,12044722,783.9,15365,6,A. K-6|K-6,AK-6K-6
BERGEN,3910,PALISADES PARK,26374592,1595.1,16535,9,25711247,1636.9,15708,3,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,3930,PARAMUS BORO,83628849,4075.3,20521,79,82248129,3989.4,20617,78,"N. K-12|K-12,3500+",NK-12K-123500plus
BERGEN,3940,PARK RIDGE BORO,29609008,1322.2,22395,43,30842727,1321.5,23340,44,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,3960,PASCACK VALLEY REGIONAL,48913803,2083.9,23472,39,51370870,2101.3,24447,39,"G. G9-12|7-12,9-12",GG9-127-129-12
BERGEN,4300,RAMAPO-INDIAN HILL REG,52121072,2262.3,23039,36,56618946,2354.2,24050,37,"G. G9-12|7-12,9-12",GG9-127-129-12
BERGEN,4310,RAMSEY BORO,59104426,3018.2,19582,54,58457490,2982.4,19601,51,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,4370,RIDGEFIELD BORO,37166005,1812.9,20501,40,38417842,1773.6,21660,39,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,4380,RIDGEFIELD PARK TWP,38505454,2317.8,16613,19,38751837,2358.6,16430,12,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,4390,RIDGEWOOD VILLAGE,104979055,5837.9,17982,44,106223375,5817.2,18260,39,"N. K-12|K-12,3500+",NK-12K-123500plus
BERGEN,4405,RIVER DELL REGIONAL,33203684,1682.5,19735,16,33405572,1688.7,19782,17,"F. G7-12|7-12,9-12",FG7-127-129-12
BERGEN,4410,RIVER EDGE BORO,18041507,1196.7,15076,7,18543582,1168.1,15874,12,A. K-6|K-6,AK-6K-6
BERGEN,4430,RIVER VALE TWP,22707962,1311.5,17315,42,24663226,1177.5,20945,74,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,4470,ROCHELLE PARK TWP,11125576,620.2,17939,28,11959643,635.2,18829,32,"J. K-12|K-8,401-750",JK-12K-8401-750
BERGEN,4600,RUTHERFORD BORO,44438793,2542.7,17477,24,45646902,2550.7,17896,28,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,4610,SADDLE BROOK TWP,41116495,1734.3,23708,45,34567440,1713.4,20175,35,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,4620,SADDLE RIVER BORO,8841437,420.6,21022,48,8866300,413.8,21425,44,H. K-12|K-6,HK-12K-6
BERGEN,4870,SOUTH HACKENSACK TWP,8086759,347.3,23282,63,8557127,347,24661,65,"I. K-12|K-8,0-400",IK-12K-80-400
BERGEN,5150,TEANECK TWP,93881498,3908.6,24019,97,97324876,3864.8,25182,100,"N. K-12|K-12,3500+",NK-12K-123500plus
BERGEN,5160,TENAFLY BORO,68985769,3685.2,18720,58,69393904,3663.6,18941,51,"N. K-12|K-12,3500+",NK-12K-123500plus
BERGEN,5330,UPPER SADDLE RIVER BORO,24684500,1367.2,18054,56,24339344,1312.3,18547,53,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,5410,WALDWICK BORO,31326051,1644.4,19050,32,30839750,1623.5,18996,27,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,5430,WALLINGTON BORO,18893259,1236.3,15283,4,19297821,1197.2,16119,6,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,5755,WESTWOOD REGIONAL,55251085,2742.3,20148,58,54583071,2742.1,19906,54,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,5830,WOOD-RIDGE BORO,19929143,1186,16803,14,20572523,1189.7,17292,17,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,5880,WOODCLIFF LAKE BORO,16108760,792.8,20319,75,16795179,780.3,21524,78,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,5920,WYCKOFF TWP,39756830,2133.7,18633,61,41269877,1961.2,21043,76,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,6013,BERGEN ARTS & SCIENCE CHARTER SCHOOL,9014629,652.2,13822,23,11724332,873.7,13419,18,O. CHARTER,OCHARTER
BERGEN,6430,ENGLEWOOD ON THE PALISADES CHARTER SCHOO,3293241,179.8,18316,66,4174216,197.9,21093,81,O. CHARTER,OCHARTER
BERGEN,7890,TEANECK COMMUNITY CHARTER SCHOOL,4900605,305.9,16020,41,5337126,305.6,17464,58,O. CHARTER,OCHARTER
BURLINGTON,200,BASS RIVER TWP,2689560,124.1,21668,49,2571472,110.1,23353,50,A. K-6|K-6,AK-6K-6
BURLINGTON,380,BEVERLY CITY,7472627,394.8,18927,42,7606117,375.5,20258,41,"I. K-12|K-8,0-400",IK-12K-80-400
BURLINGTON,475,BORDENTOWN REGIONAL,42802305,2526.3,16943,22,44211985,2547.5,17355,22,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BURLINGTON,600,BURLINGTON CITY,42376792,1806.4,23459,44,43739119,1761.9,24825,48,"L. K-12|K-12,0-1800",LK-12K-120-1800
BURLINGTON,605,BURLINGTON CO SPEC SERV,45407746,774.8,58603,5,42948915,846.1,50760,5,P. CSSD,PCSSD
BURLINGTON,610,BURLINGTON CO VOCATIONAL,43685671,2064.9,21157,8,45202291,2027,22300,11,Q. COUNTY VOC,QCOUNTYVOC
BURLINGTON,620,BURLINGTON TWP,69314545,4078.3,16996,27,73087708,4096.3,17842,35,"N. K-12|K-12,3500+",NK-12K-123500plus
BURLINGTON,830,CHESTERFIELD TWP,10564126,640.4,16495,20,11169239,699.2,15974,13,A. K-6|K-6,AK-6K-6
BURLINGTON,840,CINNAMINSON TWP,45064677,2420.2,18620,45,46624240,2430.6,19182,48,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BURLINGTON,1030,DELANCO TWP,9349198,536.1,17438,22,9013227,532.4,16931,12,"I. K-12|K-8,0-400",IK-12K-80-400
BURLINGTON,1060,DELRAN TWP,47056620,2879,16345,15,48342020,3006.1,16081,9,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BURLINGTON,1250,EASTAMPTON TWP,11949078,647.7,18448,31,11867689,624.3,19009,33,"D. K-8|K-8,401-750",DK-8K-8401-750
BURLINGTON,1280,EDGEWATER PARK TWP,17799452,1073.7,16578,29,18555155,1082.2,17146,26,"K. K-12|K-8,751+",KK-12K-8751plus
BURLINGTON,1420,EVESHAM TWP,81117922,4741.4,17108,37,83810886,4622.6,18131,46,"E. K-8|K-8,751+",EK-8K-8751plus
BURLINGTON,1520,FLORENCE TWP,30279006,1646.7,18388,29,30967626,1597.6,19383,29,"L. K-12|K-12,0-1800",LK-12K-120-1800
BURLINGTON,1910,HAINESPORT TWP,10596444,677.3,15645,8,10898598,672.9,16197,9,"D. K-8|K-8,401-750",DK-8K-8401-750
BURLINGTON,2610,LENAPE REGIONAL,157028352,7177.5,21878,30,155124027,7106.1,21830,27,"G. G9-12|7-12,9-12",GG9-127-129-12
BURLINGTON,2850,LUMBERTON TWP,26894307,1262.5,21303,79,26995665,1497,18034,44,"E. K-8|K-8,751+",EK-8K-8751plus
BURLINGTON,2960,MANSFIELD TWP,11794392,716.9,16453,18,12156835,732,16607,15,A. K-6|K-6,AK-6K-6
BURLINGTON,3010,MAPLE SHADE TWP,37578721,2115.5,17764,31,38158194,2212.3,17248,21,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BURLINGTON,3070,MEDFORD LAKES BORO,8164165,536.7,15211,5,7935092,529.4,14989,2,"D. K-8|K-8,401-750",DK-8K-8401-750
BURLINGTON,3080,MEDFORD TWP,51494634,2970.2,17337,44,53120352,2833.9,18745,55,"E. K-8|K-8,751+",EK-8K-8751plus
BURLINGTON,3360,MOORESTOWN TWP,73529558,4107.4,17902,43,74079450,4073.8,18184,38,"N. K-12|K-12,3500+",NK-12K-123500plus
BURLINGTON,3430,MOUNT HOLLY TWP,20083870,1074.6,18689,64,20476108,1027.7,19923,65,"E. K-8|K-8,751+",EK-8K-8751plus
BURLINGTON,3440,MOUNT LAUREL TWP,72082832,4159.3,17331,43,72773745,4195.2,17347,32,"E. K-8|K-8,751+",EK-8K-8751plus
BURLINGTON,3540,NEW HANOVER TWP,5179190,243.4,21276,50,5620533,250.5,22438,58,"I. K-12|K-8,0-400",IK-12K-80-400
BURLINGTON,3650,NORTH HANOVER TWP,24993453,1268.9,19697,45,25233822,1278.4,19738,39,A. K-6|K-6,AK-6K-6
BURLINGTON,3690,NORTHERN BURLINGTON REG,37825753,2012.2,18798,10,38120353,2093.1,18212,7,"F. G7-12|7-12,9-12",FG7-127-129-12
BURLINGTON,3920,PALMYRA BORO,17203547,987.8,17416,21,16986391,995.6,17062,16,"L. K-12|K-12,0-1800",LK-12K-120-1800
BURLINGTON,4050,PEMBERTON TWP,121901435,5196.3,23459,95,118353616,5182.5,22837,92,"N. K-12|K-12,3500+",NK-12K-123500plus
BURLINGTON,4320,RANCOCAS VALLEY REGIONAL,36818352,2116.1,17399,5,37994909,2120.1,17921,4,"G. G9-12|7-12,9-12",GG9-127-129-12
