CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,6060,,,,,,,,,,,,,,,,Atlantic City Community CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,6612,3098492,1553717,1497360,54401,1956,425338,273800,1012709,610856,90728,0,16000,0,50971,227,Galloway Community CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7410,4554307,2230703,2129126,49430,52147,683363,414103,761014,539289,879227,0,0,0,0,328,chARTer~TECH HIGH SCHOOL,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,6013,10308163,6150257,5130311,712306,307640,0,0,1377069,1044516,2780837,1073930,0,0,24800,874,Bergen Arts and Sciences CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6430,3463328,2023257,1884925,93532,44800,0,0,1060635,768329,379436,0,0,0,78570,198,Englewood on the Palisades CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,7890,4512270,2568288,2387911,56580,123797,0,0,640573,557622,1303410,242445,0,0,5005,306,Teaneck Community CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6026,1538700,770319,671522,73208,25589,0,0,601670,460254,166711,0,0,0,0,143,Riverbank Charter School of Excellence,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,Renaissance Regional Leadership CS,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6076,1901625,890177,720378,165159,4640,17301,0,830237,623285,163910,0,0,0,11115,149,Benjamin Banneker Prep CS,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6067,2032111,1073620,898658,128019,46943,0,0,773491,289390,185000,0,0,0,6872,180,Kingdom CS of Leadership,CAMDEM,K. CHARTER,C,,,1,CAMDEM
80,6024,3071573,1691505,1536377,106608,48520,922,0,839400,584039,539746,0,0,0,12000,239,Camden's Pride Charter Schhol,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6063,2912637,908014,507265,161524,239225,417874,0,564501,308269,1022248,0,0,0,0,150,Camden Community Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6083,3075641,1859498,1410256,295989,153253,0,0,715389,461370,500754,0,0,0,0,239,Knowledge A to Z Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6086,1081974,565803,484707,80316,780,68278,53087,279410,155248,142588,0,25895,0,14375,101,Hope Community CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
