GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
A. K-6,,,K-6 Average,15.1,,15,
A. K-6,BERGEN,1270,EDGEWATER BORO,15,31,13.3,28
A. K-6,BERGEN,3870,ORADELL BORO,17.2,15,13.5,27
A. K-6,BERGEN,4410,RIVER EDGE BORO,12.7,37,10,43
A. K-6,BERGEN,4620,SADDLE RIVER BORO,8,51,8.2,49
A. K-6,BURLINGTON,200,BASS RIVER TWP,15.8,28,17.4,11
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,14.1,33,12.2,36
A. K-6,BURLINGTON,2960,MANSFIELD TWP,16.5,22,12.5,34
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,16.1,25,19,7
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,11.8,40,7.3,52
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,8.4,50,5.3,54
A. K-6,CAMDEN,5560,WATERFORD TWP,16.3,23,16.2,18
A. K-6,CAPE MAY,710,CAPE MAY CITY,6.3,53,9.9,44
A. K-6,CAPE MAY,2840,LOWER TWP,18,12,17.5,10
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,4.2,54,3.6,55
A. K-6,ESSEX,1400,ESSEX FELLS BORO,15.9,27,16.5,16
A. K-6,ESSEX,1465,FAIRFIELD TWP,12.5,38,13,30
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,19.3,6,19.6,5
A. K-6,ESSEX,4530,ROSELAND BORO,11.9,39,21.8,3
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,13.8,34,18.4,8
A. K-6,GLOUCESTER,1330,ELK TWP,18.5,7,19.5,6
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,18.3,9,16.2,18
A. K-6,GLOUCESTER,2070,HARRISON TWP,17.1,16,14.3,25
A. K-6,GLOUCESTER,2990,MANTUA TWP,,,,
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,15.3,29,15.4,21
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,11.4,42,11.4,39
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,19.4,5,14.9,23
A. K-6,GLOUCESTER,5590,WENONAH BORO,16.9,18,17.7,9
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,16.9,18,17,13
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,18.1,11,25.3,2
A. K-6,HUNTERDON,2590,LEBANON BORO,21,3,6.3,53
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,15.3,29,13.6,26
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,13.3,35,10.9,42
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,4,55,12.9,31
A. K-6,MORRIS,3240,MINE HILL TWP,16.6,20,11.8,38
A. K-6,OCEAN,230,BEACH HAVEN BORO,12.9,36,12.4,35
A. K-6,OCEAN,320,BERKELEY TWP,17.9,13,16.8,15
A. K-6,OCEAN,1150,EAGLESWOOD TWP,7.7,52,8.2,49
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,9.1,48,9.8,46
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,16.6,20,16.5,16
A. K-6,OCEAN,2760,LONG BEACH ISLAND,33.9,1,12.1,37
A. K-6,OCEAN,3800,OCEAN GATE BORO,9.6,47,9.3,48
A. K-6,OCEAN,3820,OCEAN TWP,17.5,14,15.3,22
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,23.8,2,13.2,29
A. K-6,OCEAN,5020,STAFFORD TWP,19.8,4,25.4,1
A. K-6,OCEAN,5220,TUCKERTON BORO,17.1,16,17,13
A. K-6,SUSSEX,1630,FREDON TWP,10,45,12.7,33
A. K-6,SUSSEX,1980,HAMPTON TWP,11.5,41,12.8,32
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,18.3,9,17.4,11
A. K-6,SUSSEX,5040,STILLWATER TWP,9.8,46,9.9,44
A. K-6,WARREN,400,BLAIRSTOWN TWP,11,43,11,41
A. K-6,WARREN,1620,FRANKLIN TWP,10.3,44,9.7,47
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,8.7,49,7.5,51
A. K-6,WARREN,2470,KNOWLTON TWP,16,26,11.4,39
