GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
A. K-6,BERGEN,1270,EDGEWATER BORO,2408915,329629,2738544,45102
A. K-6,BERGEN,3870,ORADELL BORO,967422,350856,1318278,778367
A. K-6,BERGEN,4410,RIVER EDGE BORO,1625379,272009,1897388,-103430
A. K-6,BERGEN,4620,SADDLE RIVER BORO,1611596,-118729,1492867,105698
A. K-6,BURLINGTON,200,BASS RIVER TWP,639561,-269252,370309,-120222
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,716610,1118,717728,-264873
A. K-6,BURLINGTON,2960,MANSFIELD TWP,867623,98962,1002979,438328
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,27987266,-332044,27655222,-1268072
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,1205716,218177,1423893,-600348
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,517029,60067,577096,-64621
A. K-6,CAMDEN,5560,WATERFORD TWP,3376067,1069302,4390224,-1069123
A. K-6,CAPE MAY,710,CAPE MAY CITY,1604819,-278362,1326457,-640778
A. K-6,CAPE MAY,2840,LOWER TWP,2977919,-769126,2208793,-520813
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,622653,-5023,617630,136275
A. K-6,ESSEX,1400,ESSEX FELLS BORO,1079364,163078,1242442,-138058
A. K-6,ESSEX,1465,FAIRFIELD TWP,1153675,-267052,886623,-154370
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,2881833,283639,3165472,324700
A. K-6,ESSEX,4530,ROSELAND BORO,757633,118106,875739,15887
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,2480649,833271,3313920,83961
A. K-6,GLOUCESTER,1330,ELK TWP,1273400,-131212,1142188,-239593
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,4041780,-1090026,2951754,1015894
A. K-6,GLOUCESTER,2070,HARRISON TWP,1662546,-13671,1648875,213139
A. K-6,GLOUCESTER,2990,MANTUA TWP,1481945,351554,1833499,-176938
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,1080702,194329,1275031,-71157
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,1090122,208459,1298581,106049
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,2924179,1165931,4090111,400709
A. K-6,GLOUCESTER,5590,WENONAH BORO,226684,-35306,191378,47352
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,797602,63138,860740,73623
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,572300,143277,715577,48985
A. K-6,HUNTERDON,2590,LEBANON BORO,838823,129929,968752,-81460
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,1104724,72463,1161476,-8690
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,1478054,-34824,1443230,-183707
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,424632,-274068,150564,274693
A. K-6,MORRIS,3240,MINE HILL TWP,898922,674899,1573821,686166
A. K-6,OCEAN,230,BEACH HAVEN BORO,575888,-10145,565743,71236
A. K-6,OCEAN,320,BERKELEY TWP,6226466,366475,6592941,690973
A. K-6,OCEAN,1150,EAGLESWOOD TWP,351799,115751,467550,57550
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,227993,71544,299537,61387
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,3622239,-1899634,1722605,13615
A. K-6,OCEAN,2760,LONG BEACH ISLAND,1727983,578437,2306420,533639
A. K-6,OCEAN,3800,OCEAN GATE BORO,1268490,109810,1378300,83307
A. K-6,OCEAN,3820,OCEAN TWP,4578852,511394,5090246,481478
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,1503207,409879,1913086,-883452
A. K-6,OCEAN,5020,STAFFORD TWP,3451026,-469945,2981081,-72468
A. K-6,OCEAN,5220,TUCKERTON BORO,608696,502630,1103817,252890
A. K-6,SUSSEX,1630,FREDON TWP,426494,75588,502082,67900
A. K-6,SUSSEX,1980,HAMPTON TWP,1193397,59060,1252457,414344
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,1196257,495339,1691596,514696
A. K-6,SUSSEX,5040,STILLWATER TWP,1166145,195176,1361321,347436
A. K-6,WARREN,400,BLAIRSTOWN TWP,882492,60314,942806,60332
A. K-6,WARREN,1620,FRANKLIN TWP,890383,212654,1103037,91477
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,514209,-67631,446578,-73492
A. K-6,WARREN,2470,KNOWLTON TWP,603763,12096,615859,636
A. K-6,WARREN,2970,MANSFIELD TWP,1474256,277685,1751941,96448
A. K-6,WARREN,5480,WASHINGTON BORO,1419160,-188130,1231030,-55642
A. K-6,WARREN,5530,WASHINGTON TWP,1112852,-329446,783406,-30718
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,355098,114480,469578,101237
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,514749,40219,554968,-128128
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,820293,-160363,659930,-153202
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,989044,290473,1279517,334908
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,1474096,249874,1723970,-91922
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,1086084,156643,1242727,-196033
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,1274063,224402,1498465,158895
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,2306926,146730,2453656,552502
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,2248047,3057021,5305068,535962
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,696570,17315,713885,95859
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,861315,-4853,856462,26983
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,408967,-44046,364921,-44686
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,971083,41424,1012507,76080
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,677223,-99820,577403,-45177
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,826143,411073,1237216,158826
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,1379406,-487257,892149,307101
B. K-8 / 0 - 400,CAMDEN,5900,WOODLYNNE BORO,1172378,330939,1503317,576052
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,1210255,279736,1489991,103793
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,2836133,-86606,2749527,-381084
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,1265716,1704,1267420,-259921
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,320709,1083882,1404591,376490
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,-300835,-435864,-736699,-6923
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,864989,-196738,668251,6271
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,1044050,257975,1302025,-246072
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,408962,73428,482390,-120517
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,268884,80522,349406,93267
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,2134869,241188,2376057,-811137
B. K-8 / 0 - 400,HUNTERDON,370,BETHLEHEM TWP,1249060,323738,1572798,232784
